Structure,directory,type,split,c11,c11_pred,c12,c12_pred,c44,c44_pred,G,G_pred,B,B_pred,E_VRH,E_VRH_pred,nu,nu_pred,Cohesive_energy,Cohesive_energy_pred
3,1_Ni_Cu,binary,validation,261.3768667,261.3768667,157.6785967,157.6785967,124.2829467,124.2829467,87.51910518,87.51910518,192.2446867,192.2446867,227.9639067,227.9639067,0.30236653,0.30236653,-4.791772293,-4.791772293
4,1_Ni_Cu,binary,train,261.3576733,261.3576733,157.65951,157.65951,124.2826933,124.2826933,87.51896028,87.51896028,192.2255644,192.2255644,227.9605912,227.9605912,0.302349745,0.302349745,-4.791770274,-4.791770274
5,1_Ni_Cu,binary,train,252.20587,252.20587,155.4527367,155.4527367,120.49418,120.49418,83.55729265,83.55729265,187.7037811,187.7037811,218.2820846,218.2820846,0.306182128,0.306182128,-4.696235316,-4.696235316
6,1_Ni_Cu,binary,train,253.0369633,253.0369633,155.67339,155.67339,120.2636467,120.2636467,83.64629355,83.64629355,188.1279144,188.1279144,218.5482412,218.5482412,0.306383295,0.306383295,-4.698354588,-4.698354588
7,1_Ni_Cu,binary,train,251.6919433,251.6919433,156.5425333,156.5425333,118.8635633,118.8635633,82.32658227,82.32658227,188.2590033,188.2590033,215.5581959,215.5581959,0.309165217,0.309165217,-4.696364463,-4.696364463
8,1_Ni_Cu,binary,train,245.79517,245.79517,153.96595,153.96595,117.8877667,117.8877667,80.77554581,80.77554581,184.57569,184.57569,211.4771722,211.4771722,0.30904205,0.30904205,-4.602962084,-4.602962084
9,1_Ni_Cu,binary,train,245.76736,245.76736,153.93984,153.93984,117.8890167,117.8890167,80.77545692,80.77545692,184.5490133,184.5490133,211.4730775,211.4730775,0.309018145,0.309018145,-4.602959498,-4.602959498
10,1_Ni_Cu,binary,train,244.8964433,244.8964433,152.44099,152.44099,117.2324633,117.2324633,80.72334913,80.72334913,183.2594744,183.2594744,211.1649366,211.1649366,0.307954507,0.307954507,-4.599861606,-4.599861606
11,1_Ni_Cu,binary,train,244.8379433,244.8379433,154.20447,154.20447,115.37946,115.37946,79.29895961,79.29895961,184.4156278,184.4156278,208.072993,208.072993,0.311952856,0.311952856,-4.604233834,-4.604233834
12,1_Ni_Cu,binary,test,244.8482633,244.8482633,154.2129033,154.2129033,115.3772933,115.3772933,79.29870763,79.29870763,184.42469,184.42469,208.0736965,208.0736965,0.31196146,0.31196146,-4.604228778,-4.604228778
13,1_Ni_Cu,binary,train,239.4235733,239.4235733,151.9270433,151.9270433,113.0368,113.0368,77.25291985,77.25291985,181.0925533,181.0925533,202.9059657,202.9059657,0.313257584,0.313257584,-4.511810516,-4.511810516
14,1_Ni_Cu,binary,validation,238.44028,238.44028,151.3174167,151.3174167,112.13071,112.13071,76.67703654,76.67703654,180.3583711,180.3583711,201.4790377,201.4790377,0.313816019,0.313816019,-4.514005053,-4.514005053
15,1_Ni_Cu,binary,test,239.7980167,239.7980167,151.0777933,151.0777933,113.3568567,113.3568567,77.81075984,77.81075984,180.6512011,180.6512011,204.1251039,204.1251039,0.311676588,0.311676588,-4.517193121,-4.517193121
16,1_Ni_Cu,binary,train,239.3970233,239.3970233,151.9057967,151.9057967,113.03477,113.03477,77.2501869,77.2501869,181.0695389,181.0695389,202.8964707,202.8964707,0.313242588,0.313242588,-4.511806121,-4.511806121
