Structure,directory,type,split,c11,c11_pred,c12,c12_pred,c44,c44_pred,G,G_pred,B,B_pred,E_VRH,E_VRH_pred,nu,nu_pred,Cohesive_energy,Cohesive_energy_pred
3,1_Ni_Cu,binary,train,261.3768667,262.937744140625,157.6785967,162.2813415527344,124.2829467,120.305793762207,87.51910518,84.87042236328125,192.2446867,200.5907745361328,227.9639067,223.4767608642578,0.30236653,0.315783679485321,-4.791772293,-4.86243724822998
4,1_Ni_Cu,binary,train,261.3576733,262.812744140625,157.65951,163.5054321289062,124.2826933,119.3433456420898,87.51896028,84.5076904296875,192.2255644,196.3979034423828,227.9605912,226.2872924804688,0.302349745,0.3147458136081696,-4.791770274,-4.820081233978271
5,1_Ni_Cu,binary,train,252.20587,254.8990020751953,155.4527367,158.9172821044922,120.49418,117.0467529296875,83.55729265,82.08280181884766,187.7037811,192.1415252685547,218.2820846,224.2341613769531,0.306182128,0.3150677382946014,-4.696235316,-4.692483901977539
6,1_Ni_Cu,binary,train,253.0369633,265.78466796875,155.67339,166.5121459960938,120.2636467,119.0702056884766,83.64629355,84.57891082763672,188.1279144,197.6234893798828,218.5482412,224.045166015625,0.306383295,0.31471848487854,-4.698354588,-4.864938259124756
7,1_Ni_Cu,binary,train,251.6919433,255.6761016845703,156.5425333,160.6947784423828,118.8635633,117.8282852172852,82.32658227,79.45894622802734,188.2590033,187.1004180908203,215.5581959,219.6727294921875,0.309165217,0.3148095309734344,-4.696364463,-4.798716068267822
8,1_Ni_Cu,binary,train,245.79517,253.5681915283203,153.96595,159.0590515136719,117.8877667,114.5947875976562,80.77554581,80.29035949707031,184.57569,190.4722747802734,211.4771722,210.9895324707031,0.30904205,0.3150496780872345,-4.602962084,-4.757833003997803
9,1_Ni_Cu,binary,train,245.76736,255.6633605957031,153.93984,158.7332458496094,117.8890167,113.7302322387695,80.77545692,81.35382080078125,184.5490133,191.9855499267578,211.4730775,211.3102111816406,0.309018145,0.31480872631073,-4.602959498,-4.745548725128174
10,1_Ni_Cu,binary,train,244.8964433,246.6377410888672,152.44099,153.41845703125,117.2324633,114.641227722168,80.72334913,79.98886108398438,183.2594744,191.1459045410156,211.1649366,208.7664489746094,0.307954507,0.3171355724334717,-4.599861606,-4.557586669921875
11,1_Ni_Cu,binary,train,244.8379433,254.3458099365234,154.20447,162.3118286132812,115.37946,115.3807373046875,79.29895961,81.33058166503906,184.4156278,193.5629425048828,208.072993,210.9939422607422,0.311952856,0.31595578789711,-4.604233834,-4.798911094665527
12,1_Ni_Cu,binary,train,244.8482633,258.4488830566406,154.2129033,160.049072265625,115.3772933,114.5973434448242,79.29870763,81.42681884765625,184.42469,193.5483551025391,208.0736965,212.7353668212891,0.31196146,0.3184027075767517,-4.604228778,-4.766096591949463
13,1_Ni_Cu,binary,train,239.4235733,245.3043975830078,151.9270433,154.9436187744141,113.0368,112.2609634399414,77.25291985,78.5015640258789,181.0925533,187.9850769042969,202.9059657,200.6711578369141,0.313257584,0.3164209127426147,-4.511810516,-4.53899097442627
14,1_Ni_Cu,binary,train,238.44028,244.2268676757812,151.3174167,156.2799987792969,112.13071,111.3924789428711,76.67703654,76.31271362304688,180.3583711,185.2333679199219,201.4790377,202.5869293212891,0.313816019,0.3162432610988617,-4.514005053,-4.601653099060059
15,1_Ni_Cu,binary,train,239.7980167,250.6756134033203,151.0777933,160.8502044677734,113.3568567,113.4135665893555,77.81075984,77.35699462890625,180.6512011,187.4802703857422,204.1251039,209.2899169921875,0.311676588,0.3179428577423096,-4.517193121,-4.620027542114258
16,1_Ni_Cu,binary,train,239.3970233,247.2734832763672,151.9057967,154.88818359375,113.03477,112.7989807128906,77.2501869,78.20577239990234,181.0695389,184.65234375,202.8964707,202.0239868164062,0.313242588,0.3174929618835449,-4.511806121,-4.560814380645752
17,1_Ni_Cu,binary,train,238.53419,244.5255889892578,151.3883767,151.652587890625,114.4595,112.2499237060547,77.71717698,77.86370086669922,180.4369811,187.7482757568359,203.8800355,196.2645111083984,0.31167937,0.318202793598175,-4.509642576,-4.518724918365479
18,1_Ni_Cu,binary,validation,238.13038,249.8884582519531,152.0927133,154.6790924072266,113.0844367,113.9837188720703,76.76029794,79.16596221923828,180.7719356,190.0436248779297,201.7279746,203.931884765625,0.314012452,0.3146742284297943,-4.51159164,-4.734797477722168
19,1_Ni_Cu,binary,train,238.1362733,245.3368682861328,152.1016767,156.5128326416016,113.0902333,111.6060333251953,76.76157722,77.10115814208984,180.7798756,184.4706726074219,201.7320183,205.5185546875,0.314016892,0.3155733644962311,-4.511591703,-4.521242141723633
20,1_Ni_Cu,binary,train,239.87928,251.5534973144531,150.83748,161.1356811523438,112.5338667,113.5420989990234,77.53540168,77.89839172363281,180.51808,189.6738128662109,203.4743729,201.8730773925781,0.31213851,0.3157366514205933,-4.516274996,-4.686883926391602
21,1_Ni_Cu,binary,train,233.1276167,233.3412017822266,150.1323333,148.1140441894531,111.28753,107.8020324707031,74.94582004,73.00537109375,177.7974278,173.2603912353516,197.1380151,193.2841033935547,0.315203537,0.3167701363563538,-4.418890259,-4.397628784179688
22,1_Ni_Cu,binary,train,233.8548167,244.5583801269531,149.4552033,154.4681243896484,110.0450133,110.9568252563477,74.93614719,76.00066375732422,177.5884078,182.9514770507812,197.0871309,190.1248168945312,0.315033788,0.3150776624679565,-4.423989626,-4.503773212432861
23,1_Ni_Cu,binary,train,232.6235033,246.7591705322266,149.2475467,154.8448944091797,109.8667233,111.496467590332,74.48565633,76.38089752197266,177.0395322,183.3693084716797,195.9731148,206.8790588378906,0.315509082,0.3200607895851135,-4.423759019,-4.509588241577148
24,1_Ni_Cu,binary,train,235.48257,245.2421112060547,147.4481867,159.8983917236328,107.8486467,109.7008743286133,75.26079402,74.50337982177734,176.7929811,181.5285339355469,197.725172,206.1807861328125,0.313600092,0.3202255964279175,-4.429394724,-4.531106472015381
25,1_Ni_Cu,binary,train,234.3780767,244.1170043945312,148.9549667,155.0611419677734,110.28309,109.1267776489258,75.3746651,76.55054473876953,177.4293367,183.2023010253906,198.0755054,196.3414001464844,0.313939539,0.3169327974319458,-4.424736848,-4.501522541046143
