Structure,directory,type,split,c11,c11_pred,c12,c12_pred,c44,c44_pred,G,G_pred,B,B_pred,E_VRH,E_VRH_pred,nu,nu_pred,Cohesive_energy,Cohesive_energy_pred
3,1_Ni_Cu,binary,train,261.3768667,255.1712799072266,157.6785967,161.0750427246094,124.2829467,118.8927230834961,87.51910518,87.14736938476562,192.2446867,194.0492706298828,227.9639067,221.3096618652344,0.30236653,0.3053626120090485,-4.791772293,-4.720175743103027
4,1_Ni_Cu,binary,train,261.3576733,255.0068511962891,157.65951,159.9366149902344,124.2826933,121.8890762329102,87.51896028,86.05689239501953,192.2255644,193.78173828125,227.9605912,217.9885711669922,0.302349745,0.3093824088573456,-4.791770274,-4.718447208404541
5,1_Ni_Cu,binary,train,252.20587,244.8296966552734,155.4527367,155.7910919189453,120.49418,114.8314819335938,83.55729265,83.21041870117188,187.7037811,188.5284271240234,218.2820846,210.5662689208984,0.306182128,0.308972179889679,-4.696235316,-4.549379348754883
6,1_Ni_Cu,binary,train,253.0369633,265.7120056152344,155.67339,163.4321136474609,120.2636467,121.4087371826172,83.64629355,85.00642395019531,188.1279144,199.2242584228516,218.5482412,220.8742218017578,0.306383295,0.3066756427288055,-4.698354588,-4.880341053009033
7,1_Ni_Cu,binary,train,251.6919433,256.7187194824219,156.5425333,159.927734375,118.8635633,118.3515777587891,82.32658227,80.68154907226562,188.2590033,189.8863220214844,215.5581959,214.8847351074219,0.309165217,0.3114657402038574,-4.696364463,-4.661957740783691
8,1_Ni_Cu,binary,train,245.79517,249.5075531005859,153.96595,157.7798614501953,117.8877667,114.2865524291992,80.77554581,80.63909912109375,184.57569,187.9332580566406,211.4771722,207.5977935791016,0.30904205,0.3058452308177948,-4.602962084,-4.657047271728516
9,1_Ni_Cu,binary,train,245.76736,250.6703186035156,153.93984,155.5482940673828,117.8890167,116.4086074829102,80.77545692,82.38495635986328,184.5490133,188.9734191894531,211.4730775,210.9800567626953,0.309018145,0.3087126910686493,-4.602959498,-4.66790771484375
10,1_Ni_Cu,binary,train,244.8964433,235.0724029541016,152.44099,153.3053588867188,117.2324633,107.9910125732422,80.72334913,79.9271240234375,183.2594744,181.7344360351562,211.1649366,201.8820037841797,0.307954507,0.3105927705764771,-4.599861606,-4.429676055908203
11,1_Ni_Cu,binary,train,244.8379433,256.3763427734375,154.20447,158.1549835205078,115.37946,115.6594696044922,79.29895961,81.2076187133789,184.4156278,191.1160430908203,208.072993,207.4547576904297,0.311952856,0.3070532977581024,-4.604233834,-4.669138431549072
12,1_Ni_Cu,binary,train,244.8482633,251.2657928466797,154.2129033,157.0044097900391,115.3772933,118.785285949707,79.29870763,79.21405792236328,184.42469,191.8421020507812,208.0736965,206.3497619628906,0.31196146,0.3085767924785614,-4.604228778,-4.684663772583008
13,1_Ni_Cu,binary,validation,239.4235733,243.1031036376953,151.9270433,153.9082946777344,113.0368,111.0832595825195,77.25291985,77.19014739990234,181.0925533,183.8450469970703,202.9059657,201.3507995605469,0.313257584,0.3065018057823181,-4.511810516,-4.513802528381348
14,1_Ni_Cu,binary,train,238.44028,247.4751586914062,151.3174167,152.1433868408203,112.13071,113.351936340332,76.67703654,77.4129638671875,180.3583711,186.9344482421875,201.4790377,202.0052795410156,0.313816019,0.3131356537342072,-4.514005053,-4.52751636505127
15,1_Ni_Cu,binary,train,239.7980167,249.9502563476562,151.0777933,155.8125152587891,113.3568567,113.8689346313477,77.81075984,78.6925048828125,180.6512011,188.0008392333984,204.1251039,204.8685150146484,0.311676588,0.3131701350212097,-4.517193121,-4.694067001342773
16,1_Ni_Cu,binary,train,239.3970233,243.1500549316406,151.9057967,154.4350891113281,113.03477,109.3089065551758,77.2501869,78.33125305175781,181.0695389,182.1390380859375,202.8964707,203.5263977050781,0.313242588,0.3098390102386475,-4.511806121,-4.468523979187012
17,1_Ni_Cu,binary,train,238.53419,236.4803009033203,151.3883767,153.5451049804688,114.4595,108.5071334838867,77.71717698,76.94884490966797,180.4369811,181.8325958251953,203.8800355,206.7047424316406,0.31167937,0.309473842382431,-4.509642576,-4.472147464752197
18,1_Ni_Cu,binary,train,238.13038,240.4924926757812,152.0927133,155.0171051025391,113.0844367,112.3385467529297,76.76029794,78.88816833496094,180.7719356,184.2363586425781,201.7279746,207.009521484375,0.314012452,0.3092242181301117,-4.51159164,-4.591724872589111
19,1_Ni_Cu,binary,train,238.1362733,243.199951171875,152.1016767,152.9978790283203,113.0902333,111.2195739746094,76.76157722,77.25930786132812,180.7798756,184.318359375,201.7320183,202.2694396972656,0.314016892,0.3101381063461304,-4.511591703,-4.522648811340332
20,1_Ni_Cu,binary,train,239.87928,261.325439453125,150.83748,160.3647003173828,112.5338667,117.0878067016602,77.53540168,77.81812286376953,180.51808,191.2961883544922,203.4743729,208.5163726806641,0.31213851,0.313069075345993,-4.516274996,-4.688915729522705
21,1_Ni_Cu,binary,train,233.1276167,225.2785034179688,150.1323333,147.0919036865234,111.28753,105.5810165405273,74.94582004,72.19757843017578,177.7974278,172.5730438232422,197.1380151,188.4141387939453,0.315203537,0.3113124072551727,-4.418890259,-4.246797561645508
22,1_Ni_Cu,binary,train,233.8548167,244.4533233642578,149.4552033,153.2212524414062,110.0450133,108.7260589599609,74.93614719,75.08521270751953,177.5884078,181.0232238769531,197.0871309,202.9198455810547,0.315033788,0.3112419545650482,-4.423989626,-4.457435131072998
23,1_Ni_Cu,binary,train,232.6235033,246.0838623046875,149.2475467,153.7545471191406,109.8667233,113.1526718139648,74.48565633,77.56571197509766,177.0395322,183.4996795654297,195.9731148,205.4994964599609,0.315509082,0.312307745218277,-4.423759019,-4.524090766906738
24,1_Ni_Cu,binary,train,235.48257,250.8151245117188,147.4481867,153.5337982177734,107.8486467,112.9706420898438,75.26079402,73.0669937133789,176.7929811,191.9185333251953,197.725172,200.3438720703125,0.313600092,0.3140727579593658,-4.429394724,-4.608650684356689
25,1_Ni_Cu,binary,train,234.3780767,241.4636840820312,148.9549667,152.7488861083984,110.28309,108.6818618774414,75.3746651,73.60102844238281,177.4293367,183.5845336914062,198.0755054,197.5843353271484,0.313939539,0.3076312839984894,-4.424736848,-4.567076683044434
26,1_Ni_Cu,binary,train,232.38782,229.1121673583984,150.6545267,149.6801910400391,109.1467533,105.1473922729492,73.58622974,74.30223846435547,177.8989578,176.6368865966797,194.0087277,195.0753479003906,0.318240712,0.3108183145523071,-4.420657673,-4.324298858642578
27,1_Ni_Cu,binary,train,230.5370667,236.6860961914062,150.2239867,149.6782836914062,109.7612,109.0090637207031,73.36166117,72.58373260498047,176.9950133,180.5016632080078,193.3688619,194.6290435791016,0.317914962,0.3108913600444794,-4.42015767,-4.465242385864258
28,1_Ni_Cu,binary,train,232.5827767,237.6172485351562,149.8674133,151.1358489990234,109.7528833,110.9328079223633,74.21309153,75.05268859863281,177.4392011,182.1825103759766,195.3978687,199.541015625,0.316464957,0.3099031746387482,-4.42313826,-4.546814918518066
29,1_Ni_Cu,binary,train,233.4735367,243.8542633056641,149.1824,153.1798400878906,109.22531,111.7602233886719,74.55258374,73.81275939941406,177.2794456,185.1284942626953,196.1602036,201.8781585693359,0.315582866,0.3129984736442566,-4.425124515,-4.564312934875488
30,1_Ni_Cu,binary,train,234.37088,246.2960510253906,148.9489,153.7867126464844,110.28736,106.3367004394531,75.3760001,76.8889389038086,177.4228933,180.3974609375,198.0776861,198.7519073486328,0.313930733,0.3136426508426666,-4.424742731,-4.480757713317871
31,1_Ni_Cu,binary,train,226.16277,230.7437133789062,147.7548033,145.8236694335938,107.0392167,105.3369064331055,71.54477367,71.10726928710938,173.8907922,176.1512603759766,188.7484141,189.6483154296875,0.319092957,0.3096676766872406,-4.333093964,-4.346829891204834
32,1_Ni_Cu,binary,train,226.62749,219.8899688720703,147.38255,143.5563354492188,106.36931,101.5607376098633,71.59056898,71.71234130859375,173.79753,173.5530090332031,188.842423,182.4060668945312,0.318905728,0.3134344816207886,-4.331721929,-4.259239673614502
33,1_Ni_Cu,binary,train,227.2533533,233.4251251220703,147.4159867,150.0573120117188,107.4153433,105.3903656005859,72.20035082,72.09601593017578,174.0284422,174.0877380371094,190.2859778,198.6932678222656,0.317763526,0.3134172856807709,-4.333533196,-4.310967445373535
34,1_Ni_Cu,binary,validation,228.18782,219.5603637695312,148.0077533,145.5980224609375,106.6129167,101.8132781982422,72.0256766,72.74878692626953,174.7344422,172.1715698242188,189.974485,189.2941589355469,0.318796948,0.3149437606334686,-4.332452018,-4.24355411529541
35,1_Ni_Cu,binary,train,228.42203,237.7088623046875,147.6489033,150.1632385253906,109.06594,108.3266372680664,73.24544569,75.99285888671875,174.5732789,179.1907806396484,192.7754963,197.3043212890625,0.315955514,0.3118695020675659,-4.331355108,-4.434882164001465
36,1_Ni_Cu,binary,train,227.92334,235.6077270507812,146.42794,149.1800842285156,107.85194,106.3327865600586,72.98783498,70.92867279052734,173.5930733,176.7435150146484,192.0477776,187.3596954345703,0.315614976,0.3145142495632172,-4.337101138,-4.449025630950928
37,1_Ni_Cu,binary,train,226.62355,218.8597717285156,148.5674867,143.7461395263672,107.3855,101.4698333740234,71.56889208,70.8087158203125,174.5861744,171.0720977783203,188.8951337,183.3567047119141,0.319673451,0.3122277855873108,-4.330854359,-4.250762939453125
38,1_Ni_Cu,binary,train,229.4997333,237.0707855224609,146.1361367,146.9403228759766,107.0238067,106.3239517211914,73.28707096,73.19010162353516,173.9240022,179.1963806152344,192.7832556,196.2080841064453,0.315261021,0.3094489872455597,-4.339903619,-4.514834880828857
39,1_Ni_Cu,binary,train,228.49703,231.3365020751953,147.75322,148.4334716796875,107.9616467,105.5350189208984,72.76259428,71.26225280761719,174.6678233,176.9615936279297,191.6723529,190.9964447021484,0.317107745,0.3094657361507416,-4.333165229,-4.365768909454346
40,1_Ni_Cu,binary,train,230.88506,241.5366516113281,145.0149067,151.9783325195312,106.1928467,108.2571563720703,73.81662311,71.3365478515625,173.6382911,184.9648132324219,193.9640516,197.6171264648438,0.313823658,0.3151954114437103,-4.342282686,-4.558731079101562
41,1_Ni_Cu,binary,train,229.23393,234.8855895996094,146.9724967,148.5516967773438,106.7908533,108.0504531860352,72.83760656,74.06578826904297,174.3929744,179.2491607666016,191.8089449,192.2712097167969,0.31668896,0.3100837171077728,-4.337044674,-4.474862575531006
42,1_Ni_Cu,binary,train,229.4311633,239.5461883544922,146.9245233,149.2968139648438,107.6829967,109.4654998779297,73.28225503,73.75944519042969,174.4267367,178.0007629394531,192.8405962,199.9471435546875,0.315738688,0.3098979592323303,-4.338019705,-4.471508979797363
43,1_Ni_Cu,binary,train,219.93165,218.7992095947266,146.3056833,142.5241088867188,103.62235,102.2464904785156,68.43389999,67.23650360107422,170.8476722,170.7285003662109,181.1189905,179.2139129638672,0.323313376,0.3122689425945282,-4.243654209,-4.297560214996338
44,1_Ni_Cu,binary,train,222.2527867,223.6998596191406,145.2457633,144.7557373046875,104.6445533,100.3920364379883,70.07311202,69.5978775024414,170.9147711,170.4398651123047,184.9443143,180.079833984375,0.319652496,0.3135782778263092,-4.24731918,-4.231752395629883
45,1_Ni_Cu,binary,train,224.4536267,238.158447265625,143.02788,148.3126831054688,103.34991,107.2711486816406,71.12075851,71.34147644042969,170.1697956,178.7237854003906,187.2726944,191.3053741455078,0.316582516,0.3171100318431854,-4.256017871,-4.430225849151611
46,1_Ni_Cu,binary,train,222.4373033,227.8122863769531,144.5159533,146.5452270507812,103.93521,107.3213577270508,70.10564765,71.61781311035156,170.4897367,178.0639801025391,184.9643932,188.441650390625,0.319183257,0.3117487728595734,-4.248171505,-4.393657684326172
47,1_Ni_Cu,binary,validation,223.96764,223.2119903564453,145.53861,144.7839202880859,104.06827,101.8669891357422,70.37901393,69.5341567993164,171.68162,173.1084136962891,185.754379,184.9344024658203,0.319671651,0.3141505718231201,-4.243911944,-4.28211498260498
48,1_Ni_Cu,binary,train,224.3094967,233.5849151611328,144.49318,148.12939453125,104.3558267,106.397087097168,70.97961444,69.16123962402344,171.0986189,175.8056488037109,187.0703656,188.5768585205078,0.317775301,0.3149091601371765,-4.252930679,-4.381644725799561
49,1_Ni_Cu,binary,train,222.0665233,218.9113464355469,145.53976,141.8099975585938,104.8948833,99.39330291748047,70.01754422,67.50199890136719,171.0486811,168.7489624023438,184.8326604,177.1034851074219,0.319902479,0.3115316033363342,-4.247653314,-4.240206241607666
50,1_Ni_Cu,binary,train,221.9629233,225.3085632324219,144.2619433,145.2616271972656,103.1745067,103.9469909667969,69.72313753,69.61685943603516,170.16227,173.3905181884766,184.0337737,183.7483367919922,0.319746789,0.3120701611042023,-4.250383419,-4.317604541778564
51,1_Ni_Cu,binary,train,219.3878167,226.7974853515625,145.90237,147.6040649414062,103.3153633,103.7031326293945,68.2905138,70.6543960571289,170.3975189,173.8492584228516,180.7279839,190.1500396728516,0.323229054,0.3118714690208435,-4.242864125,-4.325798034667969
52,1_Ni_Cu,binary,validation,222.8042733,227.8647155761719,144.78151,144.4359130859375,104.6233333,103.5874862670898,70.44399863,69.82642364501953,170.7890978,173.5913238525391,185.7884434,182.9324188232422,0.318696035,0.3156118988990784,-4.249811691,-4.257540702819824
53,1_Ni_Cu,binary,train,223.93777,234.8291625976562,143.5149733,145.9783172607422,103.0615533,108.880485534668,70.63672001,70.83091735839844,170.3225722,178.0276947021484,186.1733573,188.6959838867188,0.317822779,0.3161363303661346,-4.253616147,-4.443943023681641
54,1_Ni_Cu,binary,validation,223.96655,237.8509979248047,143.8933033,146.5914306640625,103.0346067,109.1121292114258,70.50871161,70.2623062133789,170.5843856,181.2967681884766,185.9114826,190.1564331054688,0.318358245,0.3149892091751099,-4.251747954,-4.453271389007568
55,1_Ni_Cu,binary,train,223.4310933,233.5049896240234,144.87666,147.1205444335938,104.60933,105.1599884033203,70.64482609,70.24642181396484,171.0614711,176.4271545410156,186.2898662,187.9340057373047,0.318496177,0.3122712075710297,-4.252325364,-4.364609241485596
56,1_Ni_Cu,binary,train,221.72629,222.1843719482422,145.7443467,143.1181945800781,103.8893533,105.3789520263672,69.41524847,70.04487609863281,171.0716611,172.8085021972656,183.4351033,180.4377288818359,0.321288242,0.3111394345760345,-4.244758067,-4.282068252563477
57,1_Ni_Cu,binary,train,219.56594,232.3604125976562,140.6529267,147.0939025878906,100.68555,102.9834518432617,69.12989124,66.30166625976562,166.9572644,172.7670593261719,182.2374225,185.0508270263672,0.318079771,0.3167917728424072,-4.169536819,-4.208578109741211
58,1_Ni_Cu,binary,train,217.4498867,218.1131134033203,142.0664,142.2217102050781,100.0407033,102.0992660522461,67.64507988,66.19029235839844,167.1942289,166.2160339355469,178.8191102,181.3976898193359,0.321745133,0.3167935311794281,-4.164949086,-4.186165809631348
59,1_Ni_Cu,binary,validation,216.2560767,216.6755218505859,142.7400433,142.1160888671875,101.69573,101.6571044921875,67.64935517,68.2791976928711,167.2453878,167.0727844238281,178.83557,185.4021148681641,0.321783257,0.3135574162006378,-4.163628303,-4.202772617340088
60,1_Ni_Cu,binary,train,218.6668133,223.42529296875,142.8003167,143.1172027587891,101.0508233,103.553955078125,68.22738742,69.47499084472656,168.0891489,172.2801818847656,180.2890528,181.7880096435547,0.321236673,0.3116129636764526,-4.165222756,-4.322560787200928
61,1_Ni_Cu,binary,train,218.8104,222.8505706787109,142.2681133,143.1798248291016,100.2004,105.415901184082,68.12108474,67.63126373291016,167.7822089,175.5254516601562,180.0023913,180.0542755126953,0.3211944,0.3130382299423218,-4.160887545,-4.35600757598877
62,1_Ni_Cu,binary,validation,214.2984367,207.3762817382812,142.8556033,139.3154602050781,100.71406,97.2769546508789,66.49353419,64.50123596191406,166.6698811,166.1996154785156,176.0664881,172.4785919189453,0.323936908,0.3159717321395874,-4.161190943,-4.15833854675293
63,1_Ni_Cu,binary,train,219.1847367,228.0465087890625,141.4834333,147.2171478271484,100.80893,106.2905578613281,68.78218582,68.639892578125,167.3838678,174.4510650634766,181.4873399,190.7510070800781,0.319290291,0.3184999823570251,-4.167318686,-4.315423488616943
65,1_Ni_Cu,binary,train,216.20439,215.6455993652344,143.4333933,143.4350433349609,100.7533667,98.79566955566406,67.0040274,67.32918548583984,167.6903922,169.0799865722656,177.3860431,178.74853515625,0.323696873,0.3157059550285339,-4.161584435,-4.233914375305176
66,1_Ni_Cu,binary,train,217.09307,216.6051635742188,143.4932733,142.9339447021484,101.23944,99.66581726074219,67.48549692,66.80003356933594,168.0265389,167.7746887207031,178.5521681,177.6295318603516,0.32289289,0.3162581324577332,-4.162320648,-4.169155120849609
67,1_Ni_Cu,binary,train,213.0878267,211.5604095458984,144.4388,140.3385772705078,99.06096667,98.53411102294922,64.80836881,62.71048355102539,167.3218089,168.0645599365234,172.1933552,176.9816436767578,0.328480861,0.3134587705135345,-4.154495003,-4.183316707611084
68,1_Ni_Cu,binary,train,216.9126767,218.0707855224609,142.4944633,141.0646362304688,100.7356,104.426383972168,67.56798679,69.19589233398438,167.3005344,171.8206024169922,178.652986,181.2721405029297,0.322023894,0.3178178369998932,-4.162524783,-4.220220565795898
69,1_Ni_Cu,binary,train,213.1492367,211.99560546875,144.4955067,139.0076141357422,99.04889333,99.29764556884766,64.80531774,64.46247863769531,167.3800833,164.1529235839844,172.1930304,176.6552124023438,0.3285409,0.3141922354698181,-4.154495781,-4.158271789550781
70,1_Ni_Cu,binary,train,215.4919133,213.2165222167969,143.27114,140.4747619628906,100.4954067,98.89093017578125,66.69354043,68.11508178710938,167.3447311,168.4312286376953,176.6175752,175.3845672607422,0.324098062,0.3142830431461334,-4.160031364,-4.148440837860107
71,1_Ni_Cu,binary,train,215.0727433,217.455810546875,142.1974667,142.3780975341797,100.2248767,98.2159652709961,66.81681226,67.68653106689453,166.4892256,164.7516021728516,176.7989693,183.0426025390625,0.323012602,0.3164644241333008,-4.16413235,-4.147680282592773
72,1_Ni_Cu,binary,train,218.2462967,213.2253265380859,143.26966,142.7232971191406,99.23127333,100.0633926391602,67.17324735,65.88143157958984,168.2618722,167.4860076904297,177.8524185,175.1047668457031,0.32383371,0.3180111348628998,-4.159363125,-4.194334506988525
73,1_Ni_Cu,binary,train,214.27953,220.1865539550781,138.9409267,142.957763671875,98.86012,102.1328353881836,67.13272918,64.74612426757812,164.0537944,171.2354431152344,177.2241266,179.9060211181641,0.319953238,0.3172281384468079,-4.085124699,-4.266121387481689
74,1_Ni_Cu,binary,validation,212.4257167,215.1011505126953,140.8258767,139.9183959960938,97.52022667,99.18962860107422,65.26938526,65.79842376708984,164.69249,166.7295684814453,172.9595819,171.8805084228516,0.324967143,0.318253368139267,-4.081009101,-4.110437870025635
75,1_Ni_Cu,binary,train,213.4384067,217.5068511962891,140.4891033,142.5711059570312,95.9841,103.5688705444336,65.11600342,64.31330871582031,164.8055378,169.8939208984375,172.6142476,182.7594604492188,0.325436441,0.3153067231178284,-4.076893261,-4.241841316223145
76,1_Ni_Cu,binary,train,208.9651533,206.1087799072266,142.8957433,138.5542449951172,95.95522667,94.3046646118164,62.61291551,63.47292709350586,164.91888,163.0758514404297,166.7376092,171.7071533203125,0.33149533,0.3202272653579712,-4.073341739,-4.056436061859131
77,1_Ni_Cu,binary,train,211.7438433,214.2908630371094,141.0607667,140.6019744873047,97.99817,99.98297882080078,65.1310622,65.56916809082031,164.6217922,165.8325805664062,172.627092,175.9980773925781,0.325228594,0.3145890533924103,-4.080629036,-4.205037117004395
78,1_Ni_Cu,binary,train,214.9445867,216.2623443603516,139.3559533,139.8733825683594,98.80447333,97.76931762695312,67.20473192,68.47039794921875,164.5521644,166.1596527099609,177.4559417,176.9765167236328,0.320263742,0.3142569959163666,-4.085536144,-4.16734504699707
79,1_Ni_Cu,binary,train,212.4053767,222.9375610351562,141.0759167,143.3383636474609,97.44398,102.9543228149414,65.14359995,69.09109497070312,164.8524033,170.1176300048828,172.6846011,179.4016265869141,0.325414939,0.3152945637702942,-4.079997052,-4.161144256591797
