Structure,directory,type,split,c11,c11_pred,c12,c12_pred,c44,c44_pred,G,G_pred,B,B_pred,E_VRH,E_VRH_pred,nu,nu_pred,Cohesive_energy,Cohesive_energy_pred
3,1_Ni_Cu,binary,train,261.3768667,238.1317443847656,157.6785967,153.7568359375,124.2829467,110.3438110351562,87.51910518,77.39323425292969,192.2446867,182.5292205810547,227.9639067,204.0226287841797,0.30236653,0.3160264194011688,-4.791772293,-4.434388637542725
4,1_Ni_Cu,binary,train,261.3576733,241.1328887939453,157.65951,155.0260314941406,124.2826933,110.9177169799805,87.51896028,78.4130630493164,192.2255644,184.2612609863281,227.9605912,206.4566192626953,0.302349745,0.3157424628734589,-4.791770274,-4.478582382202148
5,1_Ni_Cu,binary,train,252.20587,232.2239685058594,155.4527367,152.0443878173828,120.49418,106.1925888061523,83.55729265,74.14877319335938,187.7037811,179.5418395996094,218.2820846,196.0091247558594,0.306182128,0.3182651400566101,-4.696235316,-4.387760162353516
6,1_Ni_Cu,binary,train,253.0369633,239.2916107177734,155.67339,154.4686126708984,120.2636467,109.4544448852539,83.64629355,77.33345794677734,188.1279144,183.2846069335938,218.5482412,203.8175201416016,0.306383295,0.3167384564876556,-4.698354588,-4.457161903381348
7,1_Ni_Cu,binary,train,251.6919433,236.5907745361328,156.5425333,153.9404296875,118.8635633,107.4446487426758,82.32658227,75.70269775390625,188.2590033,182.1691589355469,215.5581959,199.7922515869141,0.309165217,0.3185787796974182,-4.696364463,-4.428802967071533
8,1_Ni_Cu,binary,train,245.79517,230.4138336181641,153.96595,151.5272674560547,117.8877667,104.8941421508789,80.77554581,73.1968765258789,184.57569,178.6118316650391,211.4771722,193.6434326171875,0.30904205,0.3190444111824036,-4.602962084,-4.367528915405273
9,1_Ni_Cu,binary,train,245.76736,231.63037109375,153.93984,151.4288330078125,117.8890167,107.0943374633789,80.77545692,74.50118255615234,184.5490133,178.8521118164062,211.4730775,196.9109954833984,0.309018145,0.3170654475688934,-4.602959498,-4.364524364471436
10,1_Ni_Cu,binary,train,244.8964433,230.9197692871094,152.44099,151.4550323486328,117.2324633,105.8054351806641,80.72334913,73.66670989990234,183.2594744,178.71484375,211.1649366,194.8903961181641,0.307954507,0.3182679116725922,-4.599861606,-4.368575572967529
11,1_Ni_Cu,binary,train,244.8379433,229.8794097900391,154.20447,151.4477691650391,115.37946,104.1154403686523,79.29895961,72.72848510742188,184.4156278,178.4604644775391,208.072993,192.5303649902344,0.311952856,0.3199854493141174,-4.604233834,-4.349680423736572
12,1_Ni_Cu,binary,train,244.8482633,228.0012664794922,154.2129033,150.6578674316406,115.3772933,103.505256652832,79.29870763,71.95915985107422,184.42469,177.3487854003906,208.0736965,190.6838531494141,0.31196146,0.3195186257362366,-4.604228778,-4.343248844146729
