Structure,directory,type,split,c11,c11_pred,c12,c12_pred,c44,c44_pred,G,G_pred,B,B_pred,E_VRH,E_VRH_pred,nu,nu_pred,Cohesive_energy,Cohesive_energy_pred
3,1_Ni_Cu,binary,train,261.3768667,236.2322387695312,157.6785967,153.2528686523438,124.2829467,106.1693267822266,87.51910518,74.38204956054688,192.2446867,181.43994140625,227.9639067,196.6475219726562,0.30236653,0.3185073733329773,-4.791772293,-4.437049388885498
4,1_Ni_Cu,binary,train,261.3576733,238.6027984619141,157.65951,153.8040466308594,124.2826933,107.9667816162109,87.51896028,75.8187255859375,192.2255644,182.6424865722656,227.9605912,200.0191345214844,0.302349745,0.3170000314712524,-4.791770274,-4.464963912963867
5,1_Ni_Cu,binary,train,252.20587,229.35986328125,155.4527367,151.2117614746094,120.49418,101.6179656982422,83.55729265,70.77362823486328,187.7037811,177.5427398681641,218.2820846,187.7180633544922,0.306182128,0.3219003975391388,-4.696235316,-4.350472927093506
6,1_Ni_Cu,binary,train,253.0369633,234.75048828125,155.67339,152.7764587402344,120.2636467,104.9171142578125,83.64629355,73.61065673828125,188.1279144,180.5601959228516,218.5482412,194.4712219238281,0.306383295,0.3194078207015991,-4.698354588,-4.421576023101807
7,1_Ni_Cu,binary,train,251.6919433,239.691162109375,156.5425333,154.8646850585938,118.8635633,106.9941101074219,82.32658227,75.5299072265625,188.2590033,183.7282867431641,215.5581959,199.3690795898438,0.309165217,0.31840580701828,-4.696364463,-4.482568740844727
8,1_Ni_Cu,binary,train,245.79517,232.7027740478516,153.96595,151.9456939697266,117.8877667,104.0343856811523,80.77554581,72.71971893310547,184.57569,179.2788391113281,211.4771722,192.4347686767578,0.30904205,0.3197578489780426,-4.602962084,-4.393873691558838
9,1_Ni_Cu,binary,train,245.76736,231.9954071044922,153.93984,151.3590393066406,117.8890167,105.8187103271484,80.77545692,73.44615173339844,184.5490133,178.5444793701172,211.4730775,194.2577819824219,0.309018145,0.3182943165302277,-4.602959498,-4.356582164764404
10,1_Ni_Cu,binary,train,244.8964433,227.2316741943359,152.44099,150.3251800537109,117.2324633,101.0014419555664,80.72334913,70.05553436279297,183.2594744,176.2038726806641,211.1649366,186.0123138427734,0.307954507,0.3220742046833038,-4.599861606,-4.320418357849121
11,1_Ni_Cu,binary,train,244.8379433,228.7991333007812,154.20447,150.8314819335938,115.37946,101.7386856079102,79.29895961,70.83906555175781,184.4156278,177.0861053466797,208.072993,187.7580413818359,0.311952856,0.3218395709991455,-4.604233834,-4.330945014953613
12,1_Ni_Cu,binary,train,244.8482633,232.7088775634766,154.2129033,152.10546875,115.3772933,104.4035568237305,79.29870763,72.8173599243164,184.42469,179.3748016357422,208.0736965,192.718994140625,0.31196146,0.3198133409023285,-4.604228778,-4.384062767028809
13,1_Ni_Cu,binary,train,239.4235733,227.072265625,151.9270433,149.7740478515625,113.0368,102.7698516845703,77.25291985,71.0065689086914,181.0925533,175.7455139160156,202.9059657,188.2169952392578,0.313257584,0.3203905522823334,-4.511810516,-4.293713092803955
14,1_Ni_Cu,binary,train,238.44028,220.150390625,151.3174167,147.8302459716797,112.13071,97.92937469482422,76.67703654,67.16458892822266,180.3583711,171.9401397705078,201.4790377,178.9654541015625,0.313816019,0.3246482908725739,-4.514005053,-4.188208103179932
15,1_Ni_Cu,binary,train,239.7980167,230.5802459716797,151.0777933,151.5741119384766,113.3568567,102.0133590698242,77.81075984,71.2799072265625,180.6512011,178.2640228271484,204.1251039,188.8888244628906,0.311676588,0.3216472864151001,-4.517193121,-4.373229503631592
16,1_Ni_Cu,binary,train,239.3970233,228.4183349609375,151.9057967,150.5006713867188,113.03477,102.7874450683594,77.2501869,71.2500228881836,181.0695389,176.6490783691406,202.8964707,188.8306427001953,0.313242588,0.3205749690532684,-4.511806121,-4.318692684173584
17,1_Ni_Cu,binary,train,238.53419,222.3064117431641,151.3883767,148.4892578125,114.4595,99.07015228271484,77.71717698,68.1298828125,180.4369811,173.1860809326172,203.8800355,181.2460174560547,0.31167937,0.3235581517219543,-4.509642576,-4.237443447113037
18,1_Ni_Cu,binary,train,238.13038,229.9449768066406,152.0927133,150.8460540771484,113.0844367,103.1190185546875,76.76029794,71.75513458251953,180.7719356,177.5582122802734,201.7279746,189.9869232177734,0.314012452,0.3201207518577576,-4.51159164,-4.358483791351318
19,1_Ni_Cu,binary,train,238.1362733,224.3390045166016,152.1016767,149.1195068359375,113.0902333,100.575927734375,76.76157722,69.33443450927734,180.7798756,174.2944183349609,201.7320183,184.2129516601562,0.314016892,0.3222906589508057,-4.511591703,-4.255363464355469
