Structure,directory,type,split,c11,c11_pred,c12,c12_pred,c44,c44_pred,G,G_pred,B,B_pred,E_VRH,E_VRH_pred,nu,nu_pred,Cohesive_energy,Cohesive_energy_pred
3,1_Ni_Cu,binary,test,261.3768667,256.0191955566406,157.6785967,162.1974182128906,124.2829467,118.82958984375,87.51910518,86.71748352050781,192.2446867,195.9019775390625,227.9639067,227.0343017578125,0.30236653,0.3088904917240143,-4.791772293,-4.676855564117432
4,1_Ni_Cu,binary,train,261.3576733,260.7633361816406,157.65951,164.5737152099609,124.2826933,122.0638427734375,87.51896028,89.25981140136719,192.2255644,198.7243041992188,227.9605912,233.4161987304688,0.302349745,0.3075711727142334,-4.791770274,-4.716306686401367
5,1_Ni_Cu,binary,test,252.20587,248.0218505859375,155.4527367,157.8302001953125,120.49418,115.5755386352539,83.55729265,83.61961364746094,187.7037811,189.9917755126953,218.2820846,219.30908203125,0.306182128,0.3103365302085876,-4.696235316,-4.556900024414062
6,1_Ni_Cu,binary,test,253.0369633,260.5869750976562,155.67339,164.7307739257812,120.2636467,121.0392456054688,83.64629355,88.72819519042969,188.1279144,198.6871185302734,218.5482412,231.7406158447266,0.306383295,0.3081663250923157,-4.698354588,-4.737051963806152
7,1_Ni_Cu,binary,train,251.6919433,252.1792755126953,156.5425333,160.9295806884766,118.8635633,115.2724456787109,82.32658227,84.23516845703125,188.2590033,193.7497711181641,215.5581959,220.3643493652344,0.309165217,0.3114460706710815,-4.696364463,-4.678522109985352
8,1_Ni_Cu,binary,test,245.79517,253.37646484375,153.96595,160.0497741699219,117.8877667,119.4042587280273,80.77554581,86.66171264648438,184.57569,193.1638793945312,211.4771722,226.7395324707031,0.30904205,0.3083442151546478,-4.602962084,-4.6070556640625
9,1_Ni_Cu,binary,train,245.76736,247.9073486328125,153.93984,158.4411926269531,117.8890167,113.7323226928711,80.77545692,82.52286529541016,184.5490133,190.5641326904297,211.4730775,216.5958251953125,0.309018145,0.3119881749153137,-4.602959498,-4.590095520019531
10,1_Ni_Cu,binary,train,244.8964433,244.3283233642578,152.44099,156.1685791015625,117.2324633,114.1100234985352,80.72334913,82.19738006591797,183.2594744,187.8165588378906,211.1649366,215.6836700439453,0.307954507,0.3105540573596954,-4.599861606,-4.521422863006592
11,1_Ni_Cu,binary,test,244.8379433,248.0985870361328,154.20447,157.3849334716797,115.37946,115.2632369995117,79.29895961,83.4852523803711,184.4156278,189.694091796875,208.072993,218.9538879394531,0.311952856,0.3101861178874969,-4.604233834,-4.561162948608398
12,1_Ni_Cu,binary,test,244.8482633,247.4818878173828,154.2129033,159.4503631591797,115.3772933,111.6396408081055,79.29870763,81.2896957397461,184.42469,191.2769165039062,208.0736965,213.8211517333984,0.31196146,0.314317911863327,-4.604228778,-4.613911628723145
13,1_Ni_Cu,binary,test,239.4235733,244.1090698242188,151.9270433,155.8045654296875,113.0368,114.2314834594727,77.25291985,82.26815795898438,181.0925533,187.4679565429688,202.9059657,215.4402160644531,0.313257584,0.3108213841915131,-4.511810516,-4.518671989440918
