Structure,directory,type,split,c11,c11_pred,c12,c12_pred,c44,c44_pred,G,G_pred,B,B_pred,E_VRH,E_VRH_pred,nu,nu_pred,Cohesive_energy,Cohesive_energy_pred
3,1_Ni_Cu,binary,test,261.3768667,266.1645812988281,157.6785967,158.5286407470703,124.2829467,124.5556335449219,87.51910518,89.40026092529297,192.2446867,194.7638092041016,227.9639067,232.8314666748047,0.30236653,0.3003116548061371,-4.791772293,-4.75050163269043
4,1_Ni_Cu,binary,train,261.3576733,266.7928161621094,157.65951,158.7126159667969,124.2826933,124.5074996948242,87.51896028,89.44488525390625,192.2255644,195.071533203125,227.9605912,233.0198669433594,0.302349745,0.3002623617649078,-4.791770274,-4.756821632385254
5,1_Ni_Cu,binary,train,252.20587,257.7814331054688,155.4527367,155.7767333984375,120.49418,119.3584365844727,83.55729265,85.00371551513672,187.7037811,190.3208770751953,218.2820846,222.2755126953125,0.306182128,0.3038516640663147,-4.696235316,-4.675826549530029
6,1_Ni_Cu,binary,train,253.0369633,257.7638549804688,155.67339,155.1549530029297,120.2636467,119.8113632202148,83.64629355,85.60413360595703,188.1279144,189.8857269287109,218.5482412,223.1010437011719,0.306383295,0.3023747503757477,-4.698354588,-4.678446292877197
7,1_Ni_Cu,binary,test,251.6919433,250.0578308105469,156.5425333,152.9234924316406,118.8635633,114.7023849487305,82.32658227,81.38618469238281,188.2590033,186.1054077148438,215.5581959,213.0431365966797,0.309165217,0.3066784739494324,-4.696364463,-4.61524486541748
8,1_Ni_Cu,binary,test,245.79517,250.3146209716797,153.96595,152.8258666992188,117.8877667,115.8271102905273,80.77554581,82.0829086303711,184.57569,186.1093139648438,211.4771722,214.7097778320312,0.30904205,0.3053792715072632,-4.602962084,-4.599908351898193
9,1_Ni_Cu,binary,test,245.76736,250.6641082763672,153.93984,152.6879119873047,117.8890167,116.6822052001953,80.77545692,82.60287475585938,184.5490133,186.0133972167969,211.4730775,215.9973297119141,0.309018145,0.3046396970748901,-4.602959498,-4.595028400421143
10,1_Ni_Cu,binary,test,244.8964433,253.2898254394531,152.44099,153.6882781982422,117.2324633,119.3022766113281,80.72334913,84.46919250488281,183.2594744,187.3617401123047,211.1649366,220.5059509277344,0.307954507,0.3031762838363647,-4.599861606,-4.597636699676514
11,1_Ni_Cu,binary,train,244.8379433,249.6999816894531,154.20447,152.0958099365234,115.37946,116.3891220092773,79.29895961,82.45868682861328,184.4156278,185.4725952148438,208.072993,215.1943054199219,0.311952856,0.3044802248477936,-4.604233834,-4.586360454559326
12,1_Ni_Cu,binary,train,244.8482633,250.3782501220703,154.2129033,153.1348419189453,115.3772933,114.6134490966797,79.29870763,81.27072143554688,184.42469,186.2185211181641,208.0736965,212.9178009033203,0.31196146,0.3069980442523956,-4.604228778,-4.60832405090332
13,1_Ni_Cu,binary,test,239.4235733,240.6585845947266,151.9270433,148.816162109375,113.0368,113.4949951171875,77.25291985,79.38573455810547,181.0925533,180.4414367675781,202.9059657,207.8144073486328,0.313257584,0.3060986697673798,-4.511810516,-4.466107845306396
14,1_Ni_Cu,binary,validation,238.44028,243.0642700195312,151.3174167,149.8612823486328,112.13071,112.6757049560547,76.67703654,79.27958679199219,180.3583711,181.9095306396484,201.4790377,207.6595153808594,0.313816019,0.3075211942195892,-4.514005053,-4.51585578918457
15,1_Ni_Cu,binary,test,239.7980167,246.5707244873047,151.0777933,150.2568511962891,113.3568567,115.7696990966797,77.81075984,81.68538665771484,180.6512011,183.040771484375,204.1251039,213.1965942382812,0.311676588,0.3038656413555145,-4.517193121,-4.537355899810791
16,1_Ni_Cu,binary,test,239.3970233,238.8208923339844,151.9057967,148.5145874023438,113.03477,110.8929977416992,77.2501869,77.6378402709961,181.0695389,179.6567993164062,202.8964707,203.6102752685547,0.313242588,0.3084855973720551,-4.511806121,-4.466110706329346
17,1_Ni_Cu,binary,test,238.53419,248.7402801513672,151.3883767,152.2946319580078,114.4595,116.4328155517578,77.71717698,82.08387756347656,180.4369811,184.9692993164062,203.8800355,214.8640747070312,0.31167937,0.3052245080471039,-4.509642576,-4.553012847900391
18,1_Ni_Cu,binary,train,238.13038,244.13671875,152.0927133,150.7817687988281,113.0844367,112.8755111694336,76.76029794,79.48880004882812,180.7719356,182.689208984375,201.7279746,208.365234375,0.314012452,0.3077064752578735,-4.51159164,-4.513265609741211
19,1_Ni_Cu,binary,test,238.1362733,241.9857635498047,152.1016767,148.9772186279297,113.0902333,113.8291473388672,76.76157722,79.87410736083984,180.7798756,181.0115814208984,201.7320183,208.9230804443359,0.314016892,0.3055845201015472,-4.511591703,-4.487260341644287
20,1_Ni_Cu,binary,test,239.87928,246.2822113037109,150.83748,150.2638092041016,112.5338667,115.9687881469727,77.53540168,81.90629577636719,180.51808,183.1436767578125,203.4743729,213.4500579833984,0.31213851,0.3040229678153992,-4.516274996,-4.550779819488525
21,1_Ni_Cu,binary,train,233.1276167,234.8392944335938,150.1323333,147.9776153564453,111.28753,108.0496826171875,74.94582004,75.16429901123047,177.7974278,177.8846282958984,197.1380151,197.7875061035156,0.315203537,0.3125959932804108,-4.418890259,-4.390888214111328
22,1_Ni_Cu,binary,test,233.8548167,232.3865814208984,149.4552033,146.3339996337891,110.0450133,107.3814392089844,74.93614719,74.75321197509766,177.5884078,176.2588043212891,197.0871309,196.2658081054688,0.315033788,0.3114831447601318,-4.423989626,-4.397925853729248
23,1_Ni_Cu,binary,validation,232.6235033,235.1504364013672,149.2475467,146.3905181884766,109.8667233,109.7225494384766,74.48565633,76.44903564453125,177.0395322,176.9648284912109,195.9731148,200.4456787109375,0.315509082,0.3091089725494385,-4.423759019,-4.413499355316162
24,1_Ni_Cu,binary,validation,235.48257,243.9054260253906,147.4481867,150.0952758789062,107.8486467,111.2054214477539,75.26079402,78.59003448486328,176.7929811,182.2947540283203,197.725172,206.0235748291016,0.313600092,0.3089269995689392,-4.429394724,-4.545561790466309
25,1_Ni_Cu,binary,test,234.3780767,235.1693572998047,148.9549667,147.0982513427734,110.28309,109.4017333984375,75.3746651,76.24446868896484,177.4293367,177.4785614013672,198.0755054,199.928955078125,0.313939539,0.3097960352897644,-4.424736848,-4.401138305664062
26,1_Ni_Cu,binary,test,232.38782,235.1537170410156,150.6545267,147.5813598632812,109.1467533,109.6305160522461,73.58622974,76.28269958496094,177.8989578,177.6689147949219,194.0087277,200.2588195800781,0.318240712,0.3103799521923065,-4.420657673,-4.385362148284912
27,1_Ni_Cu,binary,test,230.5370667,236.4936828613281,150.2239867,147.6567687988281,109.7612,109.6473083496094,73.36166117,76.47499084472656,176.9950133,178.1333312988281,193.3688619,200.6240692138672,0.317914962,0.3101666867733002,-4.42015767,-4.416716575622559
28,1_Ni_Cu,binary,test,232.5827767,237.3372802734375,149.8674133,148.2256774902344,109.7528833,110.056037902832,74.21309153,76.93968963623047,177.4392011,178.8369140625,195.3978687,201.8239288330078,0.316464957,0.3095234334468842,-4.42313826,-4.421154022216797
29,1_Ni_Cu,binary,test,233.4735367,234.5164794921875,149.1824,146.7411499023438,109.22531,109.4960861206055,74.55258374,76.35171508789062,177.2794456,177.0464324951172,196.1602036,199.9940795898438,0.315582866,0.3092012107372284,-4.425124515,-4.40079927444458
30,1_Ni_Cu,binary,train,234.37088,237.1324920654297,148.9489,146.7233581542969,110.28736,111.7689971923828,75.3760001,77.99272155761719,177.4228933,177.881591796875,198.0776861,204.1680450439453,0.313930733,0.3068428337574005,-4.424742731,-4.432357311248779
31,1_Ni_Cu,binary,train,226.16277,230.1362609863281,147.7548033,145.5763397216797,107.0392167,105.7129287719727,71.54477367,73.51573181152344,173.8907922,174.9421081542969,188.7484141,193.2561340332031,0.319092957,0.3132608532905579,-4.333093964,-4.341631889343262
32,1_Ni_Cu,binary,validation,226.62749,230.0359191894531,147.38255,145.5112762451172,106.36931,107.4295349121094,71.59056898,74.3901138305664,173.79753,174.5807342529297,188.842423,195.3574523925781,0.318905728,0.311967521905899,-4.331721929,-4.307153224945068
33,1_Ni_Cu,binary,train,227.2533533,229.0690460205078,147.4159867,145.1507720947266,107.4153433,105.7637329101562,72.20035082,73.32142639160156,174.0284422,174.3097229003906,190.2859778,192.8007659912109,0.317763526,0.3134273886680603,-4.333533196,-4.33482551574707
34,1_Ni_Cu,binary,test,228.18782,233.4711456298828,148.0077533,147.1446380615234,106.6129167,109.3825531005859,72.0256766,75.9200439453125,174.7344422,176.7846069335938,189.974485,199.2995452880859,0.318796948,0.3106828927993774,-4.332452018,-4.347383975982666
35,1_Ni_Cu,binary,train,228.42203,227.2239074707031,147.6489033,144.1064605712891,109.06594,106.4983215332031,73.24544569,73.55915069580078,174.5732789,172.948486328125,192.7754963,193.1006011962891,0.315955514,0.3118333220481873,-4.331355108,-4.299341201782227
36,1_Ni_Cu,binary,test,227.92334,229.5090637207031,146.42794,144.5552825927734,107.85194,106.7694931030273,72.98783498,74.09683227539062,173.5930733,173.9842224121094,192.0477776,194.5365905761719,0.315614976,0.3113036751747131,-4.337101138,-4.331551551818848
37,1_Ni_Cu,binary,test,226.62355,228.2820587158203,148.5674867,145.3289031982422,107.3855,105.7576065063477,71.56889208,73.13199615478516,174.5861744,173.9257354736328,188.8951337,192.3950347900391,0.319673451,0.3139984607696533,-4.330854359,-4.283223628997803
38,1_Ni_Cu,binary,train,229.4997333,230.3115997314453,146.1361367,144.722900390625,107.0238067,106.1338043212891,73.28707096,73.83206939697266,173.9240022,174.4286346435547,192.7832556,194.0905303955078,0.315261021,0.3119355142116547,-4.339903619,-4.350285530090332
39,1_Ni_Cu,binary,train,228.49703,227.8813934326172,147.75322,144.2818145751953,107.9616467,107.1780014038086,72.76259428,74.0823745727539,174.6678233,173.3113403320312,191.6723529,194.2020568847656,0.317107745,0.3112179338932037,-4.333165229,-4.302184104919434
40,1_Ni_Cu,binary,test,230.88506,228.9023590087891,145.0149067,145.1361083984375,106.1928467,104.5386276245117,73.81662311,72.6930923461914,173.6382911,174.1362609863281,193.9640516,191.0394897460938,0.313823658,0.3139782547950745,-4.342282686,-4.349367618560791
41,1_Ni_Cu,binary,train,229.23393,231.3976898193359,146.9724967,145.9519805908203,106.7908533,107.1811828613281,72.83760656,74.51602172851562,174.3929744,175.5836181640625,191.8089449,195.5706024169922,0.31668896,0.3115749359130859,-4.337044674,-4.355758190155029
42,1_Ni_Cu,binary,train,229.4311633,230.4969940185547,146.9245233,145.7667999267578,107.6829967,106.0189590454102,73.28225503,73.70191955566406,174.4267367,175.2720642089844,192.8405962,193.6918182373047,0.315738688,0.3128191232681274,-4.338019705,-4.362834930419922
43,1_Ni_Cu,binary,validation,219.93165,223.6282653808594,146.3056833,143.0459747314453,103.62235,104.7000198364258,68.43389999,71.8788070678711,170.8476722,170.8172607421875,181.1189905,189.0949554443359,0.323313376,0.3143965005874634,-4.243654209,-4.215771675109863
44,1_Ni_Cu,binary,train,222.2527867,220.907958984375,145.2457633,141.7834625244141,104.6445533,104.006103515625,70.07311202,71.18658447265625,170.9147711,169.1453094482422,184.9443143,187.0547332763672,0.319652496,0.3143754303455353,-4.24731918,-4.184412479400635
45,1_Ni_Cu,binary,test,224.4536267,231.7403259277344,143.02788,146.2183685302734,103.34991,105.5007553100586,71.12075851,73.7027359008789,170.1697956,176.0619812011719,187.2726944,193.6885070800781,0.316582516,0.3134689033031464,-4.256017871,-4.380511283874512
46,1_Ni_Cu,binary,test,222.4373033,237.0353851318359,144.5159533,147.4938049316406,103.93521,111.1285781860352,70.10564765,77.43500518798828,170.4897367,178.1084442138672,184.9643932,203.1925811767578,0.319183257,0.308603435754776,-4.248171505,-4.407177448272705
47,1_Ni_Cu,binary,test,223.96764,223.8687438964844,145.53861,143.4113464355469,104.06827,104.073974609375,70.37901393,71.70856475830078,171.68162,171.2577972412109,185.754379,188.5573272705078,0.319671651,0.3147923648357391,-4.243911944,-4.237230777740479
