Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,E_coh,E_coh_ROM,E_coh_R2,E_coh_RMSE,C11_avg,C11_ROM,C11_R2,C11_RMSE,C12_avg,C12_ROM,C12_R2,C12_RMSE,C44_avg,C44_ROM,C44_R2,C44_RMSE,B,B_ROM,B_R2,B_RMSE,G,G_ROM,G_R2,G_RMSE,E_VRH,E_VRH_ROM,E_VRH_R2,E_VRH_RMSE,nu,nu_ROM,nu_R2,nu_RMSE
1,18.75,18.75,18.75,18.75,25.0,4.238399984375,4.2009912536443155,0.9884370329367563,8.319517088326595,217.45347,232.52642593182327,0.7623087546782934,14.22551906381822,156.11782333333335,158.50228445839875,0.969335200053769,2.79129331571228,71.71986,72.36672304776856,0.8159430537877395,6.517522197881559,176.5630388888889,183.1769982828736,0.9257443902052817,5.453349606195292,50.9136576271152,54.63996180109911,0.6286509300880794,6.7648266289318,139.34695903362947,147.64859414157658,0.6844875847724301,16.173668159975655,0.3684634489844347,0.36399988387730337,0.544967235455746,0.014698282367436727
2,18.75,18.75,18.75,18.75,25.0,4.247234425,4.2009912536443155,0.9884370329367563,8.319517088326595,216.7256166666667,232.52642593182327,0.7623087546782934,14.22551906381822,157.33580333333333,158.50228445839875,0.969335200053769,2.79129331571228,76.18257333333334,72.36672304776856,0.8159430537877395,6.517522197881559,177.1324077777778,183.1769982828736,0.9257443902052817,5.453349606195292,51.93864231620458,54.63996180109911,0.6286509300880794,6.7648266289318,141.942499694247,147.64859414157658,0.6844875847724301,16.173668159975655,0.3664440709683482,0.36399988387730337,0.544967235455746,0.014698282367436727
3,18.75,18.75,18.75,18.75,25.0,4.26461614125,4.2009912536443155,0.9884370329367563,8.319517088326595,221.60830333333334,232.52642593182327,0.7623087546782934,14.22551906381822,154.02329333333333,158.50228445839875,0.969335200053769,2.79129331571228,73.55540333333333,72.36672304776856,0.8159430537877395,6.517522197881559,176.55163000000002,183.1769982828736,0.9257443902052817,5.453349606195292,53.72804497594575,54.63996180109911,0.6286509300880794,6.7648266289318,146.3394969866043,147.64859414157658,0.6844875847724301,16.173668159975655,0.361853916814962,0.36399988387730337,0.544967235455746,0.014698282367436727
4,18.75,18.75,18.75,25.0,18.75,4.1315852775,4.080666466526568,0.9884370329367563,8.319517088326595,209.79758,224.3521546592615,0.7623087546782934,14.22551906381822,151.95352666666668,153.8705378549985,0.969335200053769,2.79129331571228,70.44376666666666,72.66203559591715,0.8159430537877395,6.517522197881559,171.2348777777778,177.36441012308617,0.9257443902052817,5.453349606195292,49.01874718945871,53.762972945715354,0.6286509300880794,6.7648266289318,134.24619496719313,145.08978735102815,0.6844875847724301,16.173668159975655,0.3693352305427978,0.36277992565013684,0.544967235455746,0.014698282367436727
5,18.75,18.75,18.75,25.0,18.75,4.142536288125,4.080666466526568,0.9884370329367563,8.319517088326595,209.94739333333334,224.3521546592615,0.7623087546782934,14.22551906381822,149.7212033333333,153.8705378549985,0.969335200053769,2.79129331571228,74.24446666666667,72.66203559591715,0.8159430537877395,6.517522197881559,169.79659999999998,177.36441012308617,0.9257443902052817,5.453349606195292,51.534017707531646,53.762972945715354,0.6286509300880794,6.7648266289318,140.39822598649224,145.08978735102815,0.6844875847724301,16.173668159975655,0.3621897945478175,0.36277992565013684,0.544967235455746,0.014698282367436727
6,18.75,18.75,18.75,25.0,18.75,4.149237176874999,4.080666466526568,0.9884370329367563,8.319517088326595,208.33477000000002,224.3521546592615,0.7623087546782934,14.22551906381822,150.73646000000002,153.8705378549985,0.969335200053769,2.79129331571228,70.96812000000001,72.66203559591715,0.8159430537877395,6.517522197881559,169.93589666666668,177.36441012308617,0.9257443902052817,5.453349606195292,49.03558984296368,53.762972945715354,0.6286509300880794,6.7648266289318,134.19891597866297,145.08978735102815,0.6844875847724301,16.173668159975655,0.3683828053097208,0.36277992565013684,0.544967235455746,0.014698282367436727
7,18.75,18.75,18.75,18.75,25.0,4.2459986175,4.2009912536443155,0.9884370329367563,8.319517088326595,213.15845666666667,232.52642593182327,0.7623087546782934,14.22551906381822,154.5272666666667,158.50228445839875,0.969335200053769,2.79129331571228,71.2273,72.36672304776856,0.8159430537877395,6.517522197881559,174.07099666666667,183.1769982828736,0.9257443902052817,5.453349606195292,49.18721483914137,54.63996180109911,0.6286509300880794,6.7648266289318,134.85925790743187,147.64859414157658,0.6844875847724301,16.173668159975655,0.370877151191287,0.36399988387730337,0.544967235455746,0.014698282367436727
8,18.75,18.75,25.0,18.75,18.75,4.09372642625,4.022880865890726,0.9884370329367563,8.319517088326595,204.8371,221.77615740751727,0.7623087546782934,14.22551906381822,147.7890033333333,152.23573384609682,0.969335200053769,2.79129331571228,68.61612333333333,70.23582633479131,0.8159430537877395,6.517522197881559,166.80503555555555,175.41587503323694,0.9257443902052817,5.453349606195292,48.03743066910384,52.42005849194336,0.6286509300880794,6.7648266289318,131.48989760743177,141.560874067202,0.6844875847724301,16.173668159975655,0.368619176503979,0.3652039349349185,0.544967235455746,0.014698282367436727
9,18.75,18.75,25.0,18.75,18.75,4.082158660625,4.022880865890726,0.9884370329367563,8.319517088326595,201.05472666666665,221.77615740751727,0.7623087546782934,14.22551906381822,151.32944666666666,152.23573384609682,0.969335200053769,2.79129331571228,65.96078999999999,70.23582633479131,0.8159430537877395,6.517522197881559,167.90454,175.41587503323694,0.9257443902052817,5.453349606195292,43.64957875318613,52.42005849194336,0.6286509300880794,6.7648266289318,120.50620525087588,141.560874067202,0.6844875847724301,16.173668159975655,0.380382224674731,0.3652039349349185,0.544967235455746,0.014698282367436727
10,25.0,18.75,25.0,18.75,12.5,3.960275945625,3.890615454066662,0.9884370329367563,8.319517088326595,199.03884333333335,213.25070282221054,0.7623087546782934,14.22551906381822,144.74837,146.05202768339478,0.969335200053769,2.79129331571228,65.41967333333334,71.83884895267475,0.8159430537877395,6.517522197881559,162.84519444444445,168.45158606300004,0.9257443902052817,5.453349606195292,45.920335539219394,52.49544481211708,0.6286509300880794,6.7648266289318,125.92461108956972,141.1691194497137,0.6844875847724301,16.173668159975655,0.3711203284002652,0.36043067119567224,0.544967235455746,0.014698282367436727
