Structure,percent_cu,percent_ni,percent_au,percent_pd,percent_pt,E_coh,E_coh_ROM,E_coh_R2,E_coh_RMSE,C11_avg,C11_ROM,C11_R2,C11_RMSE,C12_avg,C12_ROM,C12_R2,C12_RMSE,C44_avg,C44_ROM,C44_R2,C44_RMSE,B,B_ROM,B_R2,B_RMSE,G,G_ROM,G_R2,G_RMSE,E_VRH,E_VRH_ROM,E_VRH_R2,E_VRH_RMSE,nu,nu_ROM,nu_R2,nu_RMSE
2,0,93.75,6.25,0,0,4.745889055,4.71680634513112,0.9319143761045303,7.711036780050582,260.02153666666663,264.51460927746194,-0.20370784030291111,20.864612649891303,154.02638333333334,153.41444370529985,0.6293324520770509,3.337459374149673,112.93167666666666,119.24769738125804,-0.04927272323602194,15.650329041592478,189.3581011,190.4478322293539,0.5069753694531447,6.734378754560092,83.31701725,87.75350614789212,-0.7170748484395773,15.975934284796029,217.9807515,227.5530915169858,-0.5016495296854211,38.402999591912995,0.308140634,0.30360259184583993,-0.16847387486350796,0.027754300608509325
3,0,87.5,12.5,0,0,4.608032685,4.554740859069932,0.9319143761045303,7.711036780050582,245.18382666666665,255.06578846645368,-0.20370784030291111,20.864612649891303,151.15749000000002,150.90198452431667,0.6293324520770509,3.337459374149673,98.94308666666666,111.26521880724174,-0.04927272323602194,15.650329041592478,182.4996022,185.62325250502903,0.5069753694531447,6.734378754560092,73.25370311,82.03159593428471,-0.7170748484395773,15.975934284796029,193.8275613,213.3134216950961,-0.5016495296854211,38.402999591912995,0.322988143,0.3133889845234891,-0.16847387486350796,0.027754300608509325
4,0,87.5,12.5,0,0,4.608112533,4.554740859069932,0.9319143761045303,7.711036780050582,243.78990666666664,255.06578846645368,-0.20370784030291111,20.864612649891303,152.87771,150.90198452431667,0.6293324520770509,3.337459374149673,96.57432333333334,111.26521880724174,-0.04927272323602194,15.650329041592478,183.1817756,185.62325250502903,0.5069753694531447,6.734378754560092,71.17893294,82.03159593428471,-0.7170748484395773,15.975934284796029,189.0503683,213.3134216950961,-0.5016495296854211,38.402999591912995,0.327993835,0.3133889845234891,-0.16847387486350796,0.027754300608509325
5,0,81.25,18.75,0,0,4.474169203,4.402764402407567,0.9319143761045303,7.711036780050582,226.47276,246.20518315563203,-0.20370784030291111,20.864612649891303,149.60942,148.54593294840927,0.6293324520770509,3.337459374149673,86.40758333333332,103.77967183147032,-0.04927272323602194,15.650329041592478,175.2305333,181.0990163508169,0.5069753694531447,6.734378754560092,61.85212935,76.66589062133524,-0.7170748484395773,15.975934284796029,166.0224246,199.96021111233344,-0.5016495296854211,38.402999591912995,0.342091423,0.32256614690890967,-0.16847387486350796,0.027754300608509325
6,0,81.25,18.75,0,0,4.474225082,4.402764402407567,0.9319143761045303,7.711036780050582,226.79689333333332,246.20518315563203,-0.20370784030291111,20.864612649891303,149.52636333333336,148.54593294840927,0.6293324520770509,3.337459374149673,86.82594666666667,103.77967183147032,-0.04927272323602194,15.650329041592478,175.2832067,181.0990163508169,0.5069753694531447,6.734378754560092,62.27519365,76.66589062133524,-0.7170748484395773,15.975934284796029,167.0430468,199.96021111233344,-0.5016495296854211,38.402999591912995,0.341168425,0.32256614690890967,-0.16847387486350796,0.027754300608509325
7,0,81.25,18.75,0,0,4.474169451,4.402764402407567,0.9319143761045303,7.711036780050582,225.95315666666667,246.20518315563203,-0.20370784030291111,20.864612649891303,149.04912666666667,148.54593294840927,0.6293324520770509,3.337459374149673,86.43989666666668,103.77967183147032,-0.04927272323602194,15.650329041592478,174.6838033,181.0990163508169,0.5069753694531447,6.734378754560092,61.88763691,76.66589062133524,-0.7170748484395773,15.975934284796029,166.0529549,199.96021111233344,-0.5016495296854211,38.402999591912995,0.341568068,0.32256614690890967,-0.16847387486350796,0.027754300608509325
8,0,81.25,18.75,0,0,4.472681939,4.402764402407567,0.9319143761045303,7.711036780050582,229.84320666666667,246.20518315563203,-0.20370784030291111,20.864612649891303,150.12991333333332,148.54593294840927,0.6293324520770509,3.337459374149673,83.92520333333333,103.77967183147032,-0.04927272323602194,15.650329041592478,176.7010111,181.0990163508169,0.5069753694531447,6.734378754560092,61.94733948,76.66589062133524,-0.7170748484395773,15.975934284796029,166.3970199,199.96021111233344,-0.5016495296854211,38.402999591912995,0.34305219,0.32256614690890967,-0.16847387486350796,0.027754300608509325
9,0,81.25,18.75,0,0,4.472709639,4.402764402407567,0.9319143761045303,7.711036780050582,229.72004666666666,246.20518315563203,-0.20370784030291111,20.864612649891303,149.04454,148.54593294840927,0.6293324520770509,3.337459374149673,84.02032666666666,103.77967183147032,-0.04927272323602194,15.650329041592478,175.9363756,181.0990163508169,0.5069753694531447,6.734378754560092,62.29525044,76.66589062133524,-0.7170748484395773,15.975934284796029,167.1568777,199.96021111233344,-0.5016495296854211,38.402999591912995,0.341650258,0.32256614690890967,-0.16847387486350796,0.027754300608509325
10,0,75.0,25.0,0,0,4.346107386,4.259963308872582,0.9319143761045303,7.711036780050582,217.6939633333333,237.87952432955308,-0.20370784030291111,20.864612649891303,146.76915666666665,146.33212464643097,0.6293324520770509,3.337459374149673,79.18056,96.74605414276184,-0.04927272323602194,15.650329041592478,170.4107589,176.847924540805,0.5069753694531447,6.734378754560092,57.09611893,71.62413216016823,-0.7170748484395773,15.975934284796029,154.0801714,187.413181688837,-0.5016495296854211,38.402999591912995,0.349305122,0.33118925112496367,-0.16847387486350796,0.027754300608509325
11,0,75.0,25.0,0,0,4.337372877,4.259963308872582,0.9319143761045303,7.711036780050582,215.5750833333333,237.87952432955308,-0.20370784030291111,20.864612649891303,147.16926,146.33212464643097,0.6293324520770509,3.337459374149673,75.41761333333334,96.74605414276184,-0.04927272323602194,15.650329041592478,169.9712011,176.847924540805,0.5069753694531447,6.734378754560092,54.64068997,71.62413216016823,-0.7170748484395773,15.975934284796029,148.0567845,187.413181688837,-0.5016495296854211,38.402999591912995,0.354821696,0.33118925112496367,-0.16847387486350796,0.027754300608509325
