loss,val_loss,lr
6.642744119744748e-05,0.00010924811795121059,0.001
4.4441261707106605e-05,4.766344136442058e-05,0.001
2.749373743426986e-05,4.147405343246646e-05,0.001
2.435777787468396e-05,3.357345485710539e-05,0.001
2.1252049918984994e-05,3.0508372219628654e-05,0.001
1.9668033928610384e-05,3.01404797937721e-05,0.001
1.7323154679615982e-05,2.8141605071141385e-05,0.001
1.4781178833800368e-05,2.796957232931163e-05,0.001
1.4139187442196999e-05,3.0881132261129096e-05,0.001
1.3246983144199476e-05,2.8261618354008533e-05,0.001
1.2935729500895832e-05,2.577461054897867e-05,0.001
1.1582058505155146e-05,2.4693628802197054e-05,0.001
1.236138996318914e-05,2.4046928956522606e-05,0.001
1.1818486200354528e-05,2.2716156308888458e-05,0.001
1.1835334589704871e-05,2.341757317481097e-05,0.001
1.0996823220921215e-05,2.397113712504506e-05,0.001
1.1136111425003037e-05,2.2650669052382e-05,0.001
1.12723428173922e-05,2.3220680304802954e-05,0.001
1.1821676707768347e-05,2.5442857804591767e-05,0.001
1.1436917702667415e-05,2.5476514565525576e-05,0.001
1.1345923667249735e-05,2.151100488845259e-05,0.001
1.1073134373873472e-05,2.33888113143621e-05,0.001
1.0042702342616394e-05,2.379197394475341e-05,0.001
1.0371458301960956e-05,2.2997248379397206e-05,0.001
1.0053814548882656e-05,2.3424881874234416e-05,0.001
1.0137345270777587e-05,2.2137965061119758e-05,0.001
9.950506864697672e-06,2.1823507267981768e-05,0.001
9.612263056624215e-06,2.1383051716838963e-05,0.001
9.302313628722914e-06,2.193586442444939e-05,0.001
9.355733709526248e-06,2.1862928406335413e-05,0.001
9.781390872376505e-06,2.1907919290242717e-05,0.001
9.014813258545473e-06,2.1662790459231474e-05,0.0003
9.20082675293088e-06,2.217443943663966e-05,0.0003
8.511467967764474e-06,2.2230213289731182e-05,0.0003
8.97710651770467e-06,2.166076774301473e-05,0.0003
8.665471796120983e-06,2.1307150745997205e-05,0.0003
8.56578117236495e-06,2.260556721012108e-05,0.0003
8.66126356413588e-06,2.2915872250450775e-05,0.0003
8.783592420513742e-06,2.1129764718352817e-05,0.0003
9.064820005733054e-06,2.073459472740069e-05,0.0003
