index,set_type,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
0,training,238.1317443847656,153.7568359375,110.3438110351562,77.39323425292969,182.5292205810547,204.0226287841797,0.3160264194011688,-4.434388637542725
1,training,241.1328887939453,155.0260314941406,110.9177169799805,78.4130630493164,184.2612609863281,206.4566192626953,0.3157424628734589,-4.478582382202148
2,training,232.2239685058594,152.0443878173828,106.1925888061523,74.14877319335938,179.5418395996094,196.0091247558594,0.3182651400566101,-4.387760162353516
3,training,239.2916107177734,154.4686126708984,109.4544448852539,77.33345794677734,183.2846069335938,203.8175201416016,0.3167384564876556,-4.457161903381348
4,training,236.5907745361328,153.9404296875,107.4446487426758,75.70269775390625,182.1691589355469,199.7922515869141,0.3185787796974182,-4.428802967071533
5,training,230.4138336181641,151.5272674560547,104.8941421508789,73.1968765258789,178.6118316650391,193.6434326171875,0.3190444111824036,-4.367528915405273
6,training,231.63037109375,151.4288330078125,107.0943374633789,74.50118255615234,178.8521118164062,196.9109954833984,0.3170654475688934,-4.364524364471436
7,training,230.9197692871094,151.4550323486328,105.8054351806641,73.66670989990234,178.71484375,194.8903961181641,0.3182679116725922,-4.368575572967529
8,training,229.8794097900391,151.4477691650391,104.1154403686523,72.72848510742188,178.4604644775391,192.5303649902344,0.3199854493141174,-4.349680423736572
9,training,228.0012664794922,150.6578674316406,103.505256652832,71.95915985107422,177.3487854003906,190.6838531494141,0.3195186257362366,-4.343248844146729
10,training,223.9795989990234,148.8778991699219,102.0685119628906,70.5521240234375,174.9174957275391,187.0625305175781,0.3199740648269653,-4.28197193145752
11,training,223.8851623535156,149.0808563232422,101.6986236572266,70.34341430664062,175.0012664794922,186.6672821044922,0.3212769031524658,-4.259271621704102
12,training,229.1737976074219,151.4418792724609,102.8645553588867,71.94407653808594,178.1498565673828,190.5651397705078,0.3208744823932648,-4.35529088973999
13,training,223.9444732666016,149.2991180419922,101.4124069213867,70.103759765625,175.0878295898438,185.9456939697266,0.3208053410053253,-4.291889190673828
14,training,222.2220306396484,148.2389526367188,101.6539840698242,69.93082427978516,173.9680786132812,185.6732025146484,0.3203296661376953,-4.254469394683838
15,training,226.0337219238281,149.9773559570312,102.0969772338867,70.90572357177734,176.2097473144531,188.0377197265625,0.3201443552970886,-4.332943916320801
16,training,223.1611480712891,148.8139953613281,101.8245315551758,70.24504852294922,174.6265258789062,186.3437957763672,0.3203921020030975,-4.263151168823242
17,training,226.8750610351562,150.58984375,102.4496002197266,71.24440002441406,177.0282897949219,188.9648284912109,0.3215546607971191,-4.302618026733398
18,training,221.0211029052734,148.4735107421875,99.91690063476562,68.73091888427734,173.7156677246094,182.8523406982422,0.322687566280365,-4.243337154388428
19,training,221.2011566162109,148.6160430908203,99.11723327636719,68.37562561035156,173.7814636230469,181.8994293212891,0.3230566084384918,-4.252444744110107
20,training,224.9533386230469,149.5462951660156,102.7921142578125,71.06168365478516,175.6053161621094,188.4667205810547,0.3200459778308868,-4.285106182098389
21,training,220.1661224365234,147.7884826660156,99.59172058105469,68.61773681640625,173.0762939453125,182.1655426025391,0.3222492933273315,-4.222061157226562
22,training,221.8863830566406,148.4250946044922,100.3001708984375,69.1517333984375,173.9838409423828,183.6643524169922,0.3211096227169037,-4.268552780151367
23,validation,217.7902984619141,146.8710327148438,99.29563903808594,67.84471130371094,171.6246490478516,180.5354461669922,0.3219279944896698,-4.195173740386963
24,training,220.3299713134766,147.7463226318359,100.4903335571289,68.96044921875,173.0551147460938,183.4078369140625,0.3212575614452362,-4.223091602325439
25,training,222.0744018554688,148.3642425537109,100.4633407592773,69.33999633789062,174.0124206542969,184.1229400634766,0.3207668662071228,-4.273603439331055
26,training,223.4508666992188,148.7947235107422,101.6299362182617,70.20038604736328,174.7573547363281,186.1997833251953,0.3199205994606018,-4.280810356140137
27,training,224.4873657226562,149.6919555664062,100.8561477661133,69.96910095214844,175.5037078857422,185.7292938232422,0.3215444087982178,-4.301270008087158
28,training,216.1785736083984,146.3098449707031,98.05452728271484,67.02857971191406,170.7583923339844,178.4282073974609,0.3231599628925323,-4.161949634552002
29,training,214.0071868896484,145.6374816894531,96.16587829589844,65.63220977783203,169.6255645751953,175.0098571777344,0.3249926269054413,-4.146655559539795
30,training,215.4181823730469,146.2813568115234,97.70687103271484,66.55094909667969,170.5590362548828,177.3524322509766,0.3234069347381592,-4.160882949829102
31,training,219.4075469970703,147.0780944824219,100.9713973999023,69.03682708740234,172.2899475097656,183.5205383300781,0.3204802274703979,-4.206611156463623
32,training,216.2863311767578,146.3940277099609,98.42494201660156,67.17012023925781,170.8696441650391,178.7130737304688,0.3228629231452942,-4.166889190673828
33,training,218.0375671386719,147.73291015625,97.00528717041016,66.8066177368164,172.1849975585938,177.9655151367188,0.3252140283584595,-4.202036380767822
34,training,213.6894226074219,145.5115356445312,96.35685729980469,65.68218231201172,169.4232330322266,175.1532745361328,0.3245427012443542,-4.144077777862549
35,training,219.9889678955078,147.7600860595703,99.46910858154297,68.42675018310547,172.940673828125,181.9560699462891,0.3220928907394409,-4.228555679321289
36,training,213.4532318115234,145.3660583496094,97.0060043334961,65.9358901977539,169.3168792724609,175.704833984375,0.3240937292575836,-4.118773460388184
37,training,221.3957977294922,148.5277862548828,99.35433197021484,68.59329986572266,173.8005828857422,182.346923828125,0.3220691978931427,-4.256523609161377
38,training,215.1741333007812,145.8045501708984,97.45767211914062,66.53492736816406,170.0906219482422,177.2445831298828,0.3233216404914856,-4.157788753509521
39,training,218.7185974121094,147.5946960449219,98.47051239013672,67.57788848876953,172.3886260986328,179.9712524414062,0.3229526579380035,-4.217152118682861
40,training,207.3428955078125,143.2769622802734,93.56233215332031,63.03826904296875,165.9660186767578,168.4817962646484,0.3270703256130219,-4.039448261260986
