index,set_type,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
0,training,239.5464019775391,154.8359527587891,94.6357192993164,67.34563446044922,183.2138061523438,180.1581726074219,0.3330307900905609,-4.472212314605713
1,training,240.665283203125,155.3240356445312,94.1171646118164,67.35270690917969,183.9638061523438,180.1315460205078,0.3331177830696106,-4.508249282836914
2,training,237.9758453369141,154.2050170898438,94.01483917236328,66.79319763183594,182.2462005615234,178.6828308105469,0.3331440985202789,-4.457032203674316
3,training,235.4583282470703,154.1145629882812,91.39706420898438,65.05316162109375,181.4922943115234,174.2581939697266,0.3356128633022308,-4.444535255432129
4,training,236.6352844238281,154.6545562744141,91.19861602783203,65.14307403564453,182.3353271484375,174.5764617919922,0.3361559212207794,-4.458875179290771
5,training,231.1646575927734,152.650146484375,89.97198486328125,63.5546989440918,179.1185150146484,170.4791564941406,0.3365951478481293,-4.387313842773438
6,training,232.9678344726562,152.7064819335938,92.1341552734375,64.95834350585938,179.5937194824219,173.9517059326172,0.3344473838806152,-4.395804405212402
7,training,235.0495452880859,153.4216918945312,92.59719848632812,65.53833770751953,180.7694549560547,175.4804077148438,0.3341613709926605,-4.430173397064209
8,training,229.4531707763672,152.307861328125,88.92901611328125,62.74059677124023,178.322998046875,168.3615264892578,0.3375617563724518,-4.366210460662842
9,training,230.5676116943359,152.4195404052734,89.85520935058594,63.37213516235352,178.7877349853516,170.0876922607422,0.3366850912570953,-4.370545387268066
10,training,226.3051452636719,150.9430084228516,88.73789978027344,62.07453155517578,176.3238372802734,166.6209564208984,0.3370571136474609,-4.326520442962646
11,training,227.0835876464844,151.3218383789062,88.82662200927734,62.30218124389648,176.8173065185547,167.3431549072266,0.3376297950744629,-4.307614803314209
12,training,228.2085266113281,152.3200225830078,86.84496307373047,61.41302490234375,178.0596160888672,165.0610504150391,0.3394693434238434,-4.377530097961426
13,validation,227.0564422607422,151.3317565917969,88.50106811523438,62.08380126953125,176.8226318359375,166.7352142333984,0.3373289704322815,-4.338413715362549
14,training,224.2866973876953,150.4431915283203,87.64701843261719,61.06082916259766,175.3391571044922,164.2914428710938,0.3380364775657654,-4.303876399993896
15,training,228.1622924804688,151.8073577880859,88.6664047241211,62.27421951293945,177.5523223876953,167.2673492431641,0.3373161256313324,-4.364286422729492
16,validation,225.9396820068359,150.8312835693359,88.08602905273438,61.77460098266602,176.1905517578125,165.7509765625,0.3374395370483398,-4.329582214355469
17,training,225.1388092041016,151.5549468994141,86.02397918701172,60.40757751464844,176.4797058105469,162.5614624023438,0.3407302498817444,-4.315721988677979
18,training,223.3617248535156,150.4087829589844,87.02954864501953,60.57097244262695,175.0723266601562,163.0155029296875,0.3389153778553009,-4.293648242950439
