index,set_type,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
0,test,256.0191955566406,162.1974182128906,118.82958984375,86.71748352050781,195.9019775390625,227.0343017578125,0.3088904917240143,-4.676855564117432
1,training,260.7633361816406,164.5737152099609,122.0638427734375,89.25981140136719,198.7243041992188,233.4161987304688,0.3075711727142334,-4.716306686401367
2,test,248.0218505859375,157.8302001953125,115.5755386352539,83.61961364746094,189.9917755126953,219.30908203125,0.3103365302085876,-4.556900024414062
3,test,260.5869750976562,164.7307739257812,121.0392456054688,88.72819519042969,198.6871185302734,231.7406158447266,0.3081663250923157,-4.737051963806152
4,training,252.1792755126953,160.9295806884766,115.2724456787109,84.23516845703125,193.7497711181641,220.3643493652344,0.3114460706710815,-4.678522109985352
5,test,253.37646484375,160.0497741699219,119.4042587280273,86.66171264648438,193.1638793945312,226.7395324707031,0.3083442151546478,-4.6070556640625
6,training,247.9073486328125,158.4411926269531,113.7323226928711,82.52286529541016,190.5641326904297,216.5958251953125,0.3119881749153137,-4.590095520019531
7,training,244.3283233642578,156.1685791015625,114.1100234985352,82.19738006591797,187.8165588378906,215.6836700439453,0.3105540573596954,-4.521422863006592
8,test,248.0985870361328,157.3849334716797,115.2632369995117,83.4852523803711,189.694091796875,218.9538879394531,0.3101861178874969,-4.561162948608398
9,test,247.4818878173828,159.4503631591797,111.6396408081055,81.2896957397461,191.2769165039062,213.8211517333984,0.314317911863327,-4.613911628723145
10,test,244.1090698242188,155.8045654296875,114.2314834594727,82.26815795898438,187.4679565429688,215.4402160644531,0.3108213841915131,-4.518671989440918
11,test,233.9842376708984,150.8891143798828,106.8428039550781,76.54226684570312,180.6965637207031,201.1979522705078,0.3149135112762451,-4.406854629516602
12,test,248.4690856933594,159.1025695800781,113.2258605957031,82.35448455810547,190.7048645019531,216.2040100097656,0.3123902976512909,-4.610795497894287
13,training,242.0833282470703,155.5908355712891,110.8610916137695,80.06717681884766,186.7576751708984,209.9295043945312,0.3135522603988647,-4.538631439208984
14,training,248.5093078613281,157.8444976806641,116.8147201538086,84.54733276367188,190.3046417236328,221.0692138671875,0.3088784515857697,-4.565614700317383
15,test,246.9902954101562,157.2411651611328,116.7028503417969,84.16466522216797,189.2619171142578,220.5261688232422,0.3094601631164551,-4.527369022369385
16,training,240.9612884521484,154.2991027832031,112.0394515991211,80.55914306640625,185.208740234375,211.3330535888672,0.3119008839130402,-4.487513542175293
17,test,244.5115203857422,156.7609252929688,110.7085418701172,80.46150970458984,188.2409057617188,210.6143035888672,0.313174694776535,-4.598808288574219
18,test,234.946533203125,152.2194671630859,108.4370651245117,77.55455780029297,181.9087371826172,203.7960510253906,0.3148981630802155,-4.410042762756348
19,training,238.3923645019531,153.6236267089844,108.7381286621094,78.35892486572266,184.4153289794922,205.28857421875,0.3143983781337738,-4.507368564605713
20,test,241.4596862792969,156.1047210693359,108.0064010620117,78.50405883789062,186.7907409667969,205.9287261962891,0.3150562942028046,-4.57174015045166
