index,set_type,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
0,test,258.1099853515625,155.4484100341797,123.0745315551758,87.44357299804688,189.4024047851562,227.3554534912109,0.3004240989685059,-4.694313526153564
1,test,262.8124694824219,157.2407684326172,124.4868621826172,88.982666015625,192.2461242675781,231.2353668212891,0.2997249364852905,-4.762659549713135
2,training,255.3377990722656,155.2241821289062,120.573600769043,85.36907196044922,188.4151763916016,222.4745788574219,0.3032181859016418,-4.67732572555542
3,training,255.3121948242188,154.4918518066406,119.9900894165039,85.30821228027344,187.9037628173828,221.9567108154297,0.3022713661193848,-4.695488452911377
4,training,252.5296478271484,154.4356079101562,118.0102005004883,83.51202392578125,187.0475158691406,217.8319244384766,0.3050347864627838,-4.674517154693604
5,training,245.4584197998047,151.6360321044922,115.6708145141602,80.90816497802734,182.9425964355469,211.1701202392578,0.3064343333244324,-4.569637298583984
6,test,245.6607971191406,151.6799468994141,115.9948120117188,81.16799926757812,182.8739166259766,211.8785552978516,0.3061184287071228,-4.569220066070557
7,training,249.1255035400391,152.7266235351562,119.1419677734375,83.4521484375,184.5795593261719,217.4874420166016,0.3036045730113983,-4.586037635803223
8,test,245.0393676757812,150.6466979980469,116.5149002075195,81.50297546386719,182.0511932373047,212.4815826416016,0.3047438859939575,-4.549262523651123
9,training,247.5912475585938,152.7818450927734,114.8075103759766,80.79657745361328,184.2122344970703,211.1651916503906,0.3075342774391174,-4.613636016845703
10,test,239.2069854736328,149.2455902099609,114.3017120361328,78.98695373535156,179.2191619873047,206.3374481201172,0.3071556985378265,-4.471716403961182
11,training,238.0259704589844,148.9439697265625,112.5567321777344,78.01888275146484,178.5444946289062,203.9282379150391,0.3090271949768066,-4.46005392074585
12,training,242.8922576904297,149.6134948730469,115.5083160400391,80.59249877929688,180.5525970458984,210.1004028320312,0.3048952519893646,-4.538053035736084
13,training,240.1437225341797,150.0375366210938,113.6992568969727,78.77037811279297,180.0872497558594,206.0555419921875,0.30793297290802,-4.505223274230957
14,training,241.2684478759766,150.1789398193359,115.0206527709961,79.64813995361328,180.2530822753906,208.2026214599609,0.3068115413188934,-4.493852615356445
15,training,241.5661163330078,150.3280944824219,114.118782043457,79.28504943847656,180.6217498779297,207.1889190673828,0.30750373005867,-4.513178825378418
16,test,240.1288604736328,149.6102752685547,114.2056655883789,79.11829376220703,179.83837890625,206.5859680175781,0.3073758482933044,-4.498963356018066
17,test,243.0651397705078,150.1682891845703,115.5434722900391,80.65511322021484,180.9010620117188,210.0087585449219,0.305806964635849,-4.544320583343506
18,training,233.2995452880859,149.1220550537109,108.470832824707,74.2476577758789,177.1788024902344,195.2027587890625,0.3147949874401093,-4.414677143096924
19,training,232.1345520019531,147.7124938964844,108.9445190429688,74.71424102783203,175.9634704589844,195.9481658935547,0.3127749860286713,-4.41279935836792
20,training,234.6414489746094,147.3694458007812,111.4899063110352,76.63652801513672,176.4480590820312,200.5867919921875,0.3094916045665741,-4.43795919418335
