loss,val_loss,lr
1.7845579350250773e-05,6.524128548335284e-05,0.001
4.883017754764296e-05,3.51336166204419e-05,0.001
9.066826169146225e-05,4.440841075847857e-05,0.001
5.3182182455202565e-05,8.018138032639399e-05,0.001
5.024213169235736e-05,3.401087815291248e-05,0.001
2.9995957447681576e-05,2.625734305183869e-05,0.001
4.229175829095766e-05,5.856524876435287e-05,0.001
5.566365871345624e-05,6.187909457366914e-05,0.001
3.1534302252111956e-05,3.168494731653482e-05,0.001
2.790859252854716e-05,3.057080175494775e-05,0.001
3.5745022614719346e-05,7.4764211603906e-05,0.001
4.2129071516683325e-05,9.025407780427486e-05,0.001
0.00010815067798830569,7.733989332336932e-05,0.001
7.176047074608505e-05,0.00029256800189614296,0.001
6.79143049637787e-05,9.142685303231701e-05,0.001
7.973512401804328e-05,8.977552352007478e-05,0.001
6.928141374373809e-05,5.4137293773237616e-05,0.001
3.860038850689307e-05,4.122779500903562e-05,0.001
3.469237344688736e-05,6.145496445242316e-05,0.001
5.904283170821145e-05,4.467346298042685e-05,0.001
5.998632332193665e-05,4.1546929423930123e-05,0.001
4.556165004032664e-05,4.671676651923917e-05,0.001
4.391662878333591e-05,3.459446816123091e-05,0.001
5.917904491070658e-05,7.490577263524756e-05,0.001
6.791816849727184e-05,0.0001412275742040947,0.001
4.605633512255736e-05,7.195911166490987e-05,0.001
5.14174644195009e-05,0.0006667361594736576,0.001
9.911378583637998e-05,3.385702075320296e-05,0.001
5.585766848525964e-05,5.364308162825182e-05,0.001
3.9135338738560677e-05,3.3025953598553315e-05,0.001
3.646915502031334e-05,6.85717532178387e-05,0.001
3.960829781135544e-05,5.170932490727864e-05,0.0003
2.946932909253519e-05,2.927417153841816e-05,0.0003
2.9992572308401577e-05,2.8519201805465855e-05,0.0003
3.107968586846255e-05,3.4078388125635684e-05,0.0003
2.6358622562838718e-05,4.689990964834578e-05,0.0003
3.33372299792245e-05,3.222608211217448e-05,0.0003
2.431110078759957e-05,2.9246088161016814e-05,0.0003
2.3885946575319394e-05,2.9169159461162053e-05,0.0003
2.3963315470609814e-05,2.565753493399825e-05,0.0003
2.27416730922414e-05,2.1476957044797018e-05,0.0003
2.354109710722696e-05,3.397752152523026e-05,0.0003
2.178380236728117e-05,2.173093344026711e-05,0.0003
2.005931492021773e-05,1.8881548385252245e-05,0.0003
2.0531177142402157e-05,1.8884222299675457e-05,0.0003
2.1999996533850208e-05,2.5289673430961557e-05,0.0003
2.038044112850912e-05,1.7410591681255028e-05,0.0003
2.0484130800468847e-05,1.927419361891225e-05,0.0003
2.0229184883646667e-05,2.078752004308626e-05,0.0003
2.097141077683773e-05,1.7310838302364573e-05,0.0003
2.1919819118920714e-05,2.2870535758556798e-05,0.0003
2.0641771698137745e-05,2.170388870581519e-05,0.0003
2.0156030586804263e-05,2.2469457690021954e-05,0.0003
2.0008325009257533e-05,2.95294048555661e-05,0.0003
2.057319761661347e-05,1.9021652406081557e-05,0.0003
2.0634630345739424e-05,3.175025631207973e-05,0.0003
2.233427221653983e-05,3.0208397220121697e-05,0.0003
2.2986607291386463e-05,1.840435652411543e-05,0.0003
1.775205419107806e-05,1.622973104531411e-05,0.0003
1.6989213690976612e-05,1.585385325597599e-05,0.0003
1.6296775356750004e-05,1.8322634787182324e-05,0.0003
1.73493772308575e-05,1.837642048485577e-05,9e-05
1.7017009668052197e-05,1.7795926396502182e-05,9e-05
1.7340402337140404e-05,1.839246033341624e-05,9e-05
1.620162402105052e-05,1.6180640159291215e-05,9e-05
1.664880255702883e-05,1.5492802049266174e-05,9e-05
1.5848079783609137e-05,1.6881363990250975e-05,9e-05
1.5879380953265354e-05,2.0058942027390003e-05,9e-05
1.6876832887646742e-05,1.782957770046778e-05,9e-05
1.789098314475268e-05,1.5291054296540096e-05,9e-05
1.6089146811282262e-05,1.5304136468330398e-05,9e-05
1.6399086234741844e-05,1.629150028747972e-05,9e-05
1.6245256119873375e-05,1.640370101085864e-05,9e-05
1.763478940119967e-05,1.7356403986923397e-05,9e-05
1.7003223547362722e-05,1.675385829003062e-05,9e-05
1.5536574210273102e-05,1.6587129721301608e-05,9e-05
1.605430406925734e-05,1.5107599210750777e-05,9e-05
1.6259507901850156e-05,1.467580659664236e-05,9e-05
1.5565134162898175e-05,1.5028685993456747e-05,9e-05
1.5703204553574324e-05,1.4801652469031978e-05,9e-05
1.7125414160545915e-05,1.4655268387286924e-05,9e-05
1.5208989680104423e-05,1.827471896831412e-05,9e-05
1.549052285554353e-05,1.5831012206035666e-05,9e-05
1.6009851606213488e-05,1.4450555681833066e-05,9e-05
1.5834475561860017e-05,1.4667266441392712e-05,9e-05
1.5373178030131385e-05,1.7317386664217338e-05,9e-05
1.748724389472045e-05,1.5808494936209172e-05,9e-05
1.6857757145771757e-05,1.4115327758190688e-05,9e-05
1.575988790136762e-05,1.4126628229860216e-05,9e-05
1.5850644558668137e-05,1.453103050153004e-05,9e-05
1.5459179849131033e-05,1.3961259355710354e-05,9e-05
1.4939423635951243e-05,1.4031156752025709e-05,2.7e-05
1.5845749658183195e-05,1.4069999451749027e-05,2.7e-05
1.4610931430070195e-05,1.3814640624332242e-05,2.7e-05
1.4851609194010962e-05,1.3697348549612798e-05,2.7e-05
