Structure,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
3,261.3768667,157.6785967,124.2829467,87.51910518,192.2446867,227.9639067,0.30236653,-4.791772293
4,261.3576733,157.65951,124.2826933,87.51896028,192.2255644,227.9605912,0.302349745,-4.791770274
5,252.20587,155.4527367,120.49418,83.55729265,187.7037811,218.2820846,0.306182128,-4.696235316
6,253.0369633,155.67339,120.2636467,83.64629355,188.1279144,218.5482412,0.306383295,-4.698354588
7,251.6919433,156.5425333,118.8635633,82.32658227,188.2590033,215.5581959,0.309165217,-4.696364463
8,245.79517,153.96595,117.8877667,80.77554581,184.57569,211.4771722,0.30904205,-4.602962084
9,245.76736,153.93984,117.8890167,80.77545692,184.5490133,211.4730775,0.309018145,-4.602959498
10,244.8964433,152.44099,117.2324633,80.72334913,183.2594744,211.1649366,0.307954507,-4.599861606
11,244.8379433,154.20447,115.37946,79.29895961,184.4156278,208.072993,0.311952856,-4.604233834
12,244.8482633,154.2129033,115.3772933,79.29870763,184.42469,208.0736965,0.31196146,-4.604228778
13,239.4235733,151.9270433,113.0368,77.25291985,181.0925533,202.9059657,0.313257584,-4.511810516
14,238.44028,151.3174167,112.13071,76.67703654,180.3583711,201.4790377,0.313816019,-4.514005053
15,239.7980167,151.0777933,113.3568567,77.81075984,180.6512011,204.1251039,0.311676588,-4.517193121
16,239.3970233,151.9057967,113.03477,77.2501869,181.0695389,202.8964707,0.313242588,-4.511806121
17,238.53419,151.3883767,114.4595,77.71717698,180.4369811,203.8800355,0.31167937,-4.509642576
18,238.13038,152.0927133,113.0844367,76.76029794,180.7719356,201.7279746,0.314012452,-4.51159164
19,238.1362733,152.1016767,113.0902333,76.76157722,180.7798756,201.7320183,0.314016892,-4.511591703
20,239.87928,150.83748,112.5338667,77.53540168,180.51808,203.4743729,0.31213851,-4.516274996
21,233.1276167,150.1323333,111.28753,74.94582004,177.7974278,197.1380151,0.315203537,-4.418890259
22,233.8548167,149.4552033,110.0450133,74.93614719,177.5884078,197.0871309,0.315033788,-4.423989626
23,232.6235033,149.2475467,109.8667233,74.48565633,177.0395322,195.9731148,0.315509082,-4.423759019
24,235.48257,147.4481867,107.8486467,75.26079402,176.7929811,197.725172,0.313600092,-4.429394724
25,234.3780767,148.9549667,110.28309,75.3746651,177.4293367,198.0755054,0.313939539,-4.424736848
26,232.38782,150.6545267,109.1467533,73.58622974,177.8989578,194.0087277,0.318240712,-4.420657673
27,230.5370667,150.2239867,109.7612,73.36166117,176.9950133,193.3688619,0.317914962,-4.42015767
28,232.5827767,149.8674133,109.7528833,74.21309153,177.4392011,195.3978687,0.316464957,-4.42313826
29,233.4735367,149.1824,109.22531,74.55258374,177.2794456,196.1602036,0.315582866,-4.425124515
30,234.37088,148.9489,110.28736,75.3760001,177.4228933,198.0776861,0.313930733,-4.424742731
31,226.16277,147.7548033,107.0392167,71.54477367,173.8907922,188.7484141,0.319092957,-4.333093964
32,226.62749,147.38255,106.36931,71.59056898,173.79753,188.842423,0.318905728,-4.331721929
33,227.2533533,147.4159867,107.4153433,72.20035082,174.0284422,190.2859778,0.317763526,-4.333533196
34,228.18782,148.0077533,106.6129167,72.0256766,174.7344422,189.974485,0.318796948,-4.332452018
35,228.42203,147.6489033,109.06594,73.24544569,174.5732789,192.7754963,0.315955514,-4.331355108
36,227.92334,146.42794,107.85194,72.98783498,173.5930733,192.0477776,0.315614976,-4.337101138
37,226.62355,148.5674867,107.3855,71.56889208,174.5861744,188.8951337,0.319673451,-4.330854359
38,229.4997333,146.1361367,107.0238067,73.28707096,173.9240022,192.7832556,0.315261021,-4.339903619
