index,set_type,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
0,test,208.92766,152.1677,68.42094,50.619843,173.52167,136.12193,0.36017212,-4.1882443
1,training,214.52873,155.44196,71.8802,53.052498,177.40393,142.80583,0.3618506,-4.1966734
2,test,206.5117,150.69937,66.81713,49.446312,171.82037,133.00822,0.35928476,-4.1912127
3,test,220.00249,158.71478,75.51421,55.61087,181.31717,149.85678,0.36395144,-4.192794
4,training,220.48709,159.0621,75.869064,55.900074,181.7223,150.74762,0.36395025,-4.194138
5,test,208.59196,151.95972,68.192116,50.429825,173.2762,135.63657,0.36020747,-4.1852307
6,training,208.8798,152.12973,68.41634,50.592346,173.45682,136.08006,0.36018306,-4.1868863
7,training,205.60428,150.10925,66.12084,48.907856,171.11066,131.63513,0.35876676,-4.1975703
8,test,209.98898,152.81915,69.20277,51.22422,174.40215,137.70781,0.36101374,-4.17456
9,test,214.8546,155.65906,72.10765,53.21141,177.62328,143.35283,0.36179632,-4.202653
10,test,209.38702,152.39915,68.63031,50.713444,173.77705,136.4641,0.3601374,-4.1936502
11,test,206.89153,151.0013,67.298546,49.81297,172.166,133.9472,0.3599476,-4.1732645
12,test,214.5961,155.44,71.86198,53.055984,177.4692,142.84308,0.3621241,-4.1947956
13,training,211.87009,153.92151,70.29908,51.92789,175.56427,139.7986,0.36093956,-4.1942787
14,training,207.90283,151.49252,67.52412,49.917698,172.6651,134.3142,0.35932517,-4.2056518
15,test,209.74239,152.59862,68.67917,50.70622,173.89835,136.50153,0.3599397,-4.207652
16,training,208.53845,151.88937,68.10919,50.408947,173.24927,135.54779,0.36015433,-4.1846733
17,test,218.25702,157.78575,74.573906,55.019524,180.25722,148.18723,0.36374223,-4.1781006
18,test,207.95848,151.47743,67.43428,49.853775,172.68019,134.16028,0.35911533,-4.2125735
19,training,213.16841,154.73521,71.18039,52.557426,176.50056,141.56252,0.36144838,-4.1922784
20,test,214.35547,155.39359,71.87844,53.127567,177.4069,143.02075,0.36202386,-4.188606
21,test,207.09117,151.1169,67.45417,50.003777,172.39624,134.38507,0.36012664,-4.171175
22,test,216.11719,156.39569,72.80286,53.666428,178.4584,144.58917,0.362071,-4.209709
23,training,209.03114,152.12605,68.16345,50.329853,173.39552,135.5351,0.35945415,-4.212984
24,test,208.09402,151.6135,67.701645,50.09729,172.83778,134.7629,0.359643,-4.1972084
25,test,211.51756,153.60179,69.71621,51.439617,175.12384,138.46098,0.36034688,-4.2149677
26,test,213.76001,154.9988,71.325005,52.589916,176.79895,141.5883,0.36143345,-4.2048945
27,test,213.32971,154.80948,71.253235,52.679977,176.67442,141.77429,0.36179513,-4.184996
28,test,204.18858,149.32059,65.34523,48.349777,170.16638,130.02145,0.35855055,-4.1891546
29,test,200.5063,147.03436,62.74094,46.41709,167.43608,124.76668,0.35690922,-4.2030354
30,validation,210.80287,153.2388,69.502396,51.361923,174.783,138.26767,0.36038378,-4.20044
31,test,203.8202,148.96019,64.692276,47.86153,169.67883,128.70862,0.35777646,-4.211791
32,test,208.6947,152.0193,68.25163,50.469368,173.33414,135.81232,0.3600502,-4.187093
33,test,207.41379,151.19284,67.238464,49.798855,172.40488,133.8464,0.3596491,-4.1920485
34,test,201.33609,147.4905,63.17908,46.759853,167.95311,125.66839,0.357075,-4.2073445
35,test,205.30396,149.94861,66.00738,48.9641,170.98993,131.41847,0.359177,-4.182576
36,test,207.46906,151.2786,67.4019,49.816883,172.44426,134.02126,0.35949528,-4.193839
37,test,219.61865,158.42809,75.06881,55.192963,180.9319,148.8667,0.3632433,-4.21376
38,test,203.90059,149.09683,65.07265,48.157814,169.89525,129.35095,0.3584396,-4.1897306
39,training,212.04942,154.02226,70.36138,51.97673,175.68198,140.03429,0.3609706,-4.195004
40,test,204.52731,149.42102,65.22809,48.29582,170.24762,129.87943,0.3581475,-4.2078276
41,test,204.72455,149.5549,65.39843,48.40426,170.44421,130.1953,0.3582524,-4.2049093
42,test,205.3761,150.07753,66.28061,49.07284,171.09146,131.7987,0.3595021,-4.1729546
43,training,203.65157,148.95404,64.891365,48.06848,169.75069,129.22717,0.3582122,-4.1946664
44,test,204.38452,149.38031,65.247856,48.229378,170.14066,129.73828,0.35812926,-4.203357
45,validation,214.7702,155.57213,71.94869,53.085606,177.56813,142.97606,0.36173832,-4.2048674
46,test,203.2586,148.62643,64.41074,47.67236,169.32678,128.16003,0.3577061,-4.2067494
47,test,206.44154,150.53815,66.46314,49.17266,171.59433,132.19975,0.35902846,-4.2018037
48,test,206.33946,150.59286,66.554115,49.124363,171.53897,132.24907,0.35869023,-4.207618
49,test,203.95679,149.18056,65.2434,48.249073,169.99013,129.76358,0.358478,-4.1885853
