index,set_type,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
0,training,240.9248962402344,154.9553070068359,97.963134765625,68.83135986328125,183.5679473876953,183.4206085205078,0.3302768170833588,-4.472936153411865
1,training,243.6548461914062,155.7492370605469,98.78449249267578,69.81023406982422,185.0059509277344,185.8319091796875,0.3293207883834839,-4.516336917877197
2,training,237.355224609375,153.7095489501953,96.32325744628906,67.39659118652344,181.5508270263672,179.71533203125,0.3309125602245331,-4.444677829742432
3,training,239.4735565185547,154.7512512207031,96.66842651367188,68.01055145263672,182.9904022216797,181.2074279785156,0.3311348259449005,-4.466246604919434
4,training,235.9572296142578,154.1551666259766,93.58197784423828,65.83746337890625,181.5990295410156,175.7510833740234,0.3339559435844421,-4.440352916717529
5,training,231.6014404296875,152.4080963134766,93.07274627685547,64.77123260498047,178.8255310058594,173.1493835449219,0.3336319625377655,-4.382730960845947
6,training,233.85595703125,152.6332855224609,95.25169372558594,66.24480438232422,179.5601196289062,176.8420867919922,0.3316647708415985,-4.391212463378906
7,training,236.0500335693359,153.3529968261719,95.75833892822266,66.89588928222656,180.8628234863281,178.4095916748047,0.331445723772049,-4.427899837493896
8,training,230.6793518066406,152.1460418701172,92.52220916748047,64.376708984375,178.3341217041016,172.1199951171875,0.3341290652751923,-4.364332675933838
9,training,229.0456237792969,151.6500396728516,91.38095092773438,63.4594841003418,177.5259399414062,169.950439453125,0.3348375260829926,-4.353922367095947
10,training,226.6942138671875,150.5259094238281,91.77851104736328,63.30326843261719,175.9007263183594,169.2618865966797,0.3339968621730804,-4.31670618057251
11,training,227.8701324462891,150.9950561523438,92.0129623413086,63.65188980102539,176.5861968994141,170.3134155273438,0.3343470692634583,-4.309841156005859
12,training,230.2432098388672,152.1055450439453,91.5703353881836,63.80126571655273,178.22705078125,170.6909332275391,0.3345947861671448,-4.384960651397705
13,training,225.9232330322266,150.5660400390625,90.60990142822266,62.55426025390625,175.6825256347656,167.5468444824219,0.3350326120853424,-4.316988468170166
14,training,226.5843353271484,150.600341796875,91.70068359375,63.17193222045898,175.9536590576172,169.0836029052734,0.3343079388141632,-4.315881729125977
15,training,227.8132934570312,151.3868255615234,91.37434387207031,63.18888854980469,176.8618316650391,169.2682342529297,0.3347706198692322,-4.345328807830811
16,training,225.9277648925781,150.2227783203125,91.33124542236328,63.00944900512695,175.5344543457031,168.4700622558594,0.334077000617981,-4.313787937164307
17,training,226.4246978759766,151.1073303222656,89.96492767333984,62.36594772338867,176.3844451904297,166.9888305664062,0.3364881873130798,-4.320556163787842
18,training,223.1085510253906,149.8769836425781,89.76842498779297,61.59090042114258,174.4100646972656,165.1165313720703,0.3361760675907135,-4.278111934661865
19,training,224.0818023681641,150.3919067382812,89.05265808105469,61.41326904296875,174.9769439697266,164.8228759765625,0.3366498947143555,-4.294346809387207
20,training,226.0271301269531,150.6781616210938,90.85891723632812,62.78858947753906,175.8705444335938,168.0533905029297,0.3355433344841003,-4.297078609466553
21,training,224.8529968261719,149.9204711914062,90.24185180664062,62.34041976928711,175.0583801269531,166.8010406494141,0.3352559208869934,-4.292143821716309
22,training,223.2640991210938,149.7220001220703,89.52056121826172,61.52518844604492,174.3264923095703,164.8736267089844,0.3356813788414001,-4.29256010055542
23,training,220.7051239013672,149.1057739257812,88.89399719238281,60.77871322631836,173.0343322753906,163.0860595703125,0.3366979956626892,-4.240748405456543
24,training,221.5907897949219,149.2412261962891,89.07109832763672,61.05337524414062,173.4878692626953,163.8328247070312,0.3365396559238434,-4.250908851623535
25,training,223.3232879638672,149.6151885986328,90.32775115966797,61.95520782470703,174.275146484375,165.8318176269531,0.3350383639335632,-4.283583164215088
26,training,223.4222106933594,149.6620178222656,90.03458404541016,61.84253692626953,174.3264923095703,165.5183410644531,0.3351235091686249,-4.291398525238037
27,training,225.0308685302734,150.5874633789062,89.14988708496094,61.68954849243164,175.3953094482422,165.4710388183594,0.3366394639015198,-4.315415382385254
28,training,217.1531066894531,147.757568359375,87.1880111694336,59.42496871948242,171.029052734375,159.6525421142578,0.337920606136322,-4.190579891204834
29,training,217.8553161621094,148.1944122314453,87.18545532226562,59.46742248535156,171.4537506103516,159.8353729248047,0.3382042348384857,-4.210525035858154
30,training,218.0647735595703,148.2102966308594,87.58448028564453,59.68540191650391,171.6699676513672,160.2959442138672,0.3375698328018188,-4.207424163818359
31,training,221.9783172607422,149.0264282226562,90.19696044921875,61.66237640380859,173.3768920898438,165.2094116210938,0.3349444568157196,-4.262654304504395
32,training,218.7664947509766,148.4678039550781,88.06344604492188,60.0873908996582,171.9773712158203,161.2004241943359,0.3372945785522461,-4.215023994445801
33,validation,219.560546875,149.0267944335938,87.6683349609375,59.98837661743164,172.6506500244141,161.1217193603516,0.3381386995315552,-4.224622249603271
34,training,218.4072265625,148.3172149658203,88.53509521484375,60.26269149780273,171.6909332275391,161.7091827392578,0.3372681736946106,-4.196354389190674
35,training,219.8204803466797,148.8688201904297,88.21289825439453,60.30133819580078,172.6208038330078,161.9008483886719,0.3373337090015411,-4.235353469848633
36,training,217.3845062255859,148.0661468505859,87.8717041015625,59.7198371887207,171.2379455566406,160.3213043212891,0.3377033770084381,-4.183661937713623
37,training,219.10400390625,148.8139038085938,87.10020446777344,59.57237243652344,172.3334503173828,159.968505859375,0.3378421664237976,-4.241549968719482
38,training,217.7686767578125,147.9583435058594,87.6806869506836,59.72010040283203,171.2894592285156,160.400146484375,0.3374505043029785,-4.202587127685547
39,training,219.5959930419922,148.8478851318359,87.62285614013672,59.9486083984375,172.5595550537109,161.0937652587891,0.3376608788967133,-4.234962463378906
40,training,210.2738952636719,145.7764434814453,85.1003646850586,57.08810806274414,167.4065246582031,153.7700042724609,0.3405525684356689,-4.083104133605957
41,training,212.6703338623047,146.4331207275391,86.17527770996094,58.09288787841797,168.6231689453125,156.1739349365234,0.3393139839172363,-4.12059497833252
42,training,216.2696990966797,147.1407928466797,87.18525695800781,59.32927703857422,170.3826446533203,159.1731414794922,0.3375475406646729,-4.17773962020874
43,training,219.1860656738281,147.9122924804688,89.56465911865234,60.9306755065918,171.7407073974609,163.3548583984375,0.3356010317802429,-4.202751636505127
44,training,210.4024353027344,145.9491882324219,84.03089141845703,56.62031173706055,167.5295104980469,152.7310638427734,0.3412955403327942,-4.100354194641113
45,training,216.4127349853516,148.0310211181641,86.5682144165039,58.88510513305664,170.8399810791016,158.2050018310547,0.3389180898666382,-4.18644905090332
46,training,215.2551116943359,147.3101501464844,87.13385772705078,58.96941375732422,170.0199890136719,158.5620574951172,0.3385677635669708,-4.148635387420654
47,training,214.0128021240234,146.993896484375,85.93788146972656,58.24534225463867,169.3883514404297,156.5669403076172,0.3393152952194214,-4.154568672180176
48,training,209.4111480712891,145.3281402587891,84.74044799804688,56.76279830932617,166.7778930664062,153.0884704589844,0.3403988778591156,-4.07658052444458
49,training,213.1373748779297,146.4630737304688,85.70728302001953,57.97085189819336,168.7720642089844,156.0202789306641,0.3393772840499878,-4.1283860206604
50,training,214.0992584228516,146.6808929443359,85.88566589355469,58.28499603271484,169.3938140869141,156.6585388183594,0.3390787839889526,-4.147736549377441
51,training,217.4176330566406,147.560791015625,87.87735748291016,59.87451553344727,170.8770904541016,160.6874389648438,0.337399423122406,-4.173168659210205
