index,set_type,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
0,training,241.1240692138672,153.4953918457031,110.3931045532227,78.05306243896484,182.4734649658203,205.5480499267578,0.3143290877342224,-4.441315650939941
1,training,242.6512603759766,154.0420989990234,110.4865493774414,78.48290252685547,183.3753509521484,206.5731811523438,0.3138076364994049,-4.481069564819336
2,training,237.29296875,152.1510009765625,108.1071929931641,76.11649322509766,180.30859375,200.5980529785156,0.3152300119400024,-4.413239479064941
3,training,238.9712829589844,153.2686157226562,108.0192794799805,76.43111419677734,181.6305389404297,201.4067077636719,0.3161169290542603,-4.431888580322266
4,training,236.9603576660156,153.0211334228516,105.7022323608398,74.79553985595703,180.982666015625,197.3147888183594,0.3184265196323395,-4.41547679901123
5,training,232.0953674316406,151.0650329589844,104.550910949707,73.17583465576172,177.8557281494141,193.29931640625,0.3183180689811707,-4.354232311248779
6,training,233.0635375976562,150.8773345947266,106.3808898925781,74.3115005493164,177.9172973632812,196.1585235595703,0.3165151178836823,-4.351186752319336
7,training,235.7359161376953,151.6859588623047,107.4312591552734,75.44606018066406,179.4609069824219,198.8459167480469,0.3157287836074829,-4.394815921783447
8,training,230.3868560791016,150.5406951904297,103.4921493530273,72.3341064453125,176.9032440185547,191.1355895996094,0.3191362023353577,-4.328532218933105
9,training,228.7920684814453,149.93603515625,102.4263229370117,71.35954284667969,176.0912170410156,188.9254150390625,0.3196752965450287,-4.3162841796875
10,training,226.0523071289062,148.781494140625,102.3278884887695,70.818115234375,174.2909393310547,187.2295989990234,0.3192845284938812,-4.275169849395752
11,training,227.3610992431641,149.2884674072266,102.6235733032227,71.26173400878906,175.0534820556641,188.5520477294922,0.3195984065532684,-4.269425392150879
12,training,230.3386688232422,150.7232208251953,102.406623840332,71.70921325683594,177.0961151123047,189.6151123046875,0.3198884427547455,-4.351284503936768
13,training,225.9139709472656,148.9149017333984,101.6687469482422,70.3908462524414,174.3515014648438,186.3412628173828,0.3198255896568298,-4.280874729156494
14,training,226.2234497070312,148.8418121337891,102.5307312011719,70.86200714111328,174.415283203125,187.4734649658203,0.3192341923713684,-4.276428699493408
15,training,228.0640258789062,149.9720764160156,102.1926956176758,71.04363250732422,175.7490692138672,188.0476226806641,0.3199816644191742,-4.313944339752197
16,training,225.8243713378906,148.6557312011719,101.9930648803711,70.6594467163086,174.1881103515625,186.7877502441406,0.3192282915115356,-4.27935791015625
17,training,225.7437591552734,149.4153289794922,100.2663803100586,69.66093444824219,174.7623596191406,184.3970031738281,0.3221554458141327,-4.276082038879395
18,training,223.5516357421875,148.4139404296875,100.6783676147461,69.30481719970703,173.3017120361328,183.6713714599609,0.3212863504886627,-4.244001865386963
19,training,223.7313842773438,148.6309814453125,99.63575744628906,68.83525085449219,173.4303588867188,182.6512603759766,0.321956604719162,-4.249265193939209
20,training,225.3331909179688,148.8493957519531,101.4603271484375,70.2486801147461,174.1643218994141,185.9662628173828,0.3207533955574036,-4.252718448638916
21,training,224.1912384033203,148.0345306396484,100.5962600708008,69.69351959228516,173.3268432617188,184.3550567626953,0.3205658495426178,-4.24658203125
22,training,223.059326171875,148.0648651123047,99.96559143066406,68.89985656738281,172.8855590820312,182.5493774414062,0.3210412263870239,-4.25555419921875
