index,set_type,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
0,training,261.597900390625,157.4024505615234,122.2666397094727,88.11848449707031,193.0684204101562,229.5347137451172,0.3062548339366913,-4.770464897155762
1,training,261.3225708007812,157.3256530761719,122.623420715332,88.24526977539062,193.0673980712891,229.6805267333984,0.3058251738548279,-4.784562587738037
2,training,256.2292175292969,154.9485321044922,120.7503051757812,86.34782409667969,189.5877075195312,225.0656890869141,0.306304931640625,-4.709978580474854
3,training,257.5695190429688,155.5538940429688,121.7767868041992,87.31671905517578,190.6020355224609,227.02783203125,0.3059655725955963,-4.732997417449951
4,test,246.4816436767578,152.1956024169922,113.5260772705078,80.8682861328125,184.8203735351562,211.3192443847656,0.3122374415397644,-4.616763114929199
5,training,248.0513153076172,152.6902160644531,115.8208389282227,82.10791778564453,185.6505279541016,214.6923675537109,0.3099688291549683,-4.612414360046387
6,training,250.8327941894531,153.3434295654297,116.7312088012695,83.21270751953125,186.7699432373047,217.2394866943359,0.3091582953929901,-4.662524223327637
7,training,247.7532196044922,152.0463409423828,116.9111862182617,82.72592163085938,184.9208526611328,216.0333404541016,0.3086021840572357,-4.597599983215332
8,training,244.4537963867188,150.6789093017578,112.9165954589844,80.19398498535156,183.0236206054688,209.9913482666016,0.3113552033901215,-4.573220252990723
9,training,245.6735076904297,152.2231140136719,112.8366775512695,80.1513900756836,184.4025268554688,209.6448822021484,0.3129431009292603,-4.624833583831787
10,training,242.2417755126953,150.3122406005859,112.5708999633789,79.47586059570312,182.1956024169922,208.1919860839844,0.3122462332248688,-4.536235332489014
11,training,241.4556274414062,149.3509979248047,111.8341674804688,79.0434799194336,180.9133758544922,207.1216278076172,0.3123688995838165,-4.526975154876709
12,test,239.5930786132812,149.335205078125,112.5395812988281,79.017822265625,180.5345611572266,206.8272705078125,0.3117888569831848,-4.544073581695557
13,training,240.3787231445312,149.7707061767578,111.6688385009766,78.59822845458984,181.1226043701172,205.9452362060547,0.3132407963275909,-4.521965503692627
14,training,240.9013519287109,150.7479858398438,111.7991256713867,78.53657531738281,181.8565368652344,205.8887481689453,0.3139306008815765,-4.521371841430664
15,training,241.3575744628906,151.0627136230469,112.7231979370117,79.07164001464844,182.31494140625,207.2144317626953,0.3128286302089691,-4.538249492645264
16,test,242.067626953125,149.7592163085938,113.4340896606445,80.00035095214844,181.6788940429688,209.2978057861328,0.3111032843589783,-4.532479286193848
17,test,238.924560546875,148.4779663085938,110.3361587524414,78.00308990478516,179.8466491699219,204.4070587158203,0.3134185969829559,-4.506473064422607
18,test,230.7221984863281,146.7895202636719,107.6951141357422,74.5790786743164,175.9257507324219,196.1318664550781,0.3169184625148773,-4.388691902160645
19,training,235.9627380371094,148.0763549804688,108.2611999511719,76.05976867675781,178.5865936279297,199.9006195068359,0.3162248432636261,-4.4560546875
