index,set_type,c11,c12,c44,G,B,E_VRH,nu,Cohesive_energy
0,training,253.1579132080078,153.3664245605469,116.7911758422852,84.06981658935547,184.2879028320312,220.4832916259766,0.3098769187927246,-4.692142009735107
1,training,257.6444396972656,155.1379852294922,118.4145050048828,85.69205474853516,186.8953399658203,224.6247100830078,0.3090042769908905,-4.752425193786621
2,training,248.6825714111328,152.4154510498047,114.4472045898438,81.7685317993164,182.3173828125,214.8211517333984,0.3119491934776306,-4.650428295135498
3,test,250.4683227539062,152.3976135253906,113.9881134033203,82.17684936523438,182.8642120361328,215.6966857910156,0.3114067614078522,-4.682514190673828
4,training,247.6598052978516,151.6945343017578,112.6283874511719,80.90052795410156,181.5264282226562,212.533447265625,0.3127199709415436,-4.645816326141357
5,training,242.0108032226562,150.1417236328125,110.7409591674805,78.67292785644531,178.7544555664062,206.9774627685547,0.3142830729484558,-4.576695442199707
6,training,242.4623718261719,150.0539245605469,111.0949325561523,78.95299530029297,178.7919921875,207.6403198242188,0.313906192779541,-4.578835487365723
7,training,242.7724761962891,150.5171813964844,111.7641372680664,79.16061401367188,179.1454315185547,208.21044921875,0.3137791752815247,-4.575630187988281
8,training,241.1757354736328,149.3229217529297,109.0410842895508,77.87593841552734,177.9907531738281,204.6818084716797,0.3151166439056396,-4.559895515441895
9,test,242.8419036865234,150.1730194091797,109.8547821044922,78.41655731201172,178.9960632324219,206.5520629882812,0.3147110044956207,-4.600369453430176
10,training,236.0039825439453,148.1638793945312,107.8334426879883,75.98774719238281,175.5653686523438,200.2288818359375,0.3165799379348755,-4.486347198486328
11,training,235.0341796875,147.3377075195312,107.2827377319336,75.7396240234375,174.5914764404297,199.3961181640625,0.3168162107467651,-4.471189498901367
12,training,236.9174652099609,147.8681488037109,108.0579452514648,76.46299743652344,175.6293640136719,201.1572723388672,0.3157463073730469,-4.503923416137695
13,test,234.1856994628906,147.8214111328125,107.0642852783203,75.21978759765625,174.7917938232422,198.3292083740234,0.31742063164711,-4.469536781311035
14,test,235.1714324951172,147.6669311523438,108.2325897216797,76.02681732177734,174.7770843505859,200.3416748046875,0.3159639239311218,-4.469185829162598
15,test,236.3934478759766,148.2007293701172,108.1013565063477,76.16473388671875,175.5773773193359,200.7014007568359,0.3160596489906311,-4.496534824371338
16,test,234.9601287841797,147.6840972900391,108.2748870849609,75.96922302246094,174.8553009033203,199.9800872802734,0.3162383139133453,-4.479228019714355
17,training,236.2599487304688,147.7610473632812,106.6077575683594,75.73465728759766,175.2992706298828,199.2463836669922,0.3174276351928711,-4.505844116210938
18,training,229.4000396728516,147.2656097412109,103.9510116577148,72.31938934326172,172.7965698242188,191.2930908203125,0.3211487829685211,-4.407520294189453
19,validation,227.8582458496094,145.8217163085938,102.8439407348633,71.88603973388672,171.4667358398438,189.8770446777344,0.3212473690509796,-4.396453857421875
20,training,233.0523834228516,146.4547424316406,106.6774368286133,74.9675064086914,173.4200744628906,197.5937042236328,0.3171041905879974,-4.453674793243408
21,validation,230.0650634765625,145.6916046142578,103.7665176391602,73.03211975097656,172.0360870361328,192.6988677978516,0.3199480175971985,-4.417293071746826
22,training,230.3160095214844,146.5905914306641,103.4558410644531,72.61121368408203,172.7492980957031,191.9483184814453,0.3204018771648407,-4.425804138183594
23,training,228.2852172851562,146.7604522705078,104.3661651611328,72.24781799316406,172.1253509521484,191.1507110595703,0.3205922544002533,-4.392934799194336
24,training,229.1914825439453,146.3073120117188,104.1228485107422,72.6609115600586,172.0731658935547,191.9752502441406,0.3201092481613159,-4.414047241210938
25,test,230.5506744384766,146.3695068359375,104.0843048095703,73.03205871582031,172.6595001220703,192.8830413818359,0.3194811940193176,-4.423324584960938
26,training,229.1920471191406,145.7065734863281,105.0209579467773,73.24605560302734,171.7982482910156,193.2935485839844,0.3185961544513702,-4.40198278427124
27,training,231.2448425292969,146.2103729248047,105.2715606689453,73.92222595214844,172.6735076904297,194.8097991943359,0.3187167942523956,-4.426602363586426
28,training,223.8797302246094,144.58837890625,102.4302520751953,70.72474670410156,169.3951263427734,186.9911804199219,0.321789413690567,-4.326568126678467
29,training,222.9696502685547,144.6102752685547,102.0233383178711,70.0545883178711,168.9703826904297,185.6044769287109,0.3225107491016388,-4.30933952331543
30,validation,223.6883697509766,144.2893676757812,101.7392959594727,70.44817352294922,168.9884948730469,186.3011627197266,0.3222375214099884,-4.323760986328125
31,training,223.8218688964844,145.2562561035156,102.7013702392578,70.44236755371094,169.7035064697266,186.6263275146484,0.3221175074577332,-4.319615364074707
32,training,224.5606384277344,144.5334167480469,103.6109085083008,71.4855728149414,169.532958984375,188.9015350341797,0.3203758299350739,-4.332435607910156
33,validation,223.9349517822266,143.98388671875,102.775764465332,70.99869537353516,169.0941009521484,187.8260498046875,0.3209653794765472,-4.319952964782715
34,training,224.4953918457031,145.3191375732422,102.298225402832,70.4763412475586,169.9794769287109,186.6142578125,0.3222165405750275,-4.332105159759521
35,test,223.0840301513672,143.1273803710938,101.2220001220703,70.23929595947266,168.202880859375,185.7278442382812,0.3220237493515015,-4.310930728912354
36,test,220.763427734375,143.6733093261719,100.4099502563477,69.03691101074219,167.8794708251953,182.7873077392578,0.3236618638038635,-4.280755519866943
37,test,225.3274078369141,145.5361633300781,98.66445922851562,69.2044906616211,170.4379272460938,183.5632171630859,0.3252571523189545,-4.370850086212158
38,training,225.1827697753906,144.7468566894531,103.2000427246094,71.41969299316406,169.9304656982422,188.7250823974609,0.3205836713314056,-4.341049671173096
39,training,223.6735992431641,144.6741943359375,100.5877532958984,69.86849212646484,169.4060668945312,185.0549926757812,0.3234762847423553,-4.33284330368042
40,test,218.0396270751953,142.9092712402344,99.9380111694336,68.00346374511719,166.2766571044922,180.4490203857422,0.3245319128036499,-4.236353397369385
41,test,218.4404754638672,142.9195556640625,100.4362106323242,68.42804718017578,166.5237274169922,181.477783203125,0.3239171802997589,-4.245070934295654
42,training,222.230712890625,143.0962066650391,101.3696746826172,70.115234375,167.9461212158203,185.4444885253906,0.3219011127948761,-4.297232627868652
43,training,221.4969024658203,143.3593292236328,101.3541870117188,69.68009185791016,167.7307434082031,184.5369262695312,0.3225070238113403,-4.286478996276855
44,training,219.3855590820312,143.6096496582031,100.3509826660156,68.53157043457031,167.25390625,181.6832275390625,0.3242157697677612,-4.256999015808105
45,training,220.6205749511719,143.1823883056641,100.3142471313477,69.05103302001953,167.4463806152344,182.9773406982422,0.323509007692337,-4.275321483612061
46,training,216.9240417480469,142.2873229980469,98.80232238769531,67.3498306274414,165.6607360839844,178.8896179199219,0.325493335723877,-4.206077098846436
47,training,220.4500885009766,143.4449920654297,99.94019317626953,68.69300079345703,167.6236877441406,182.0108642578125,0.3237219750881195,-4.286478042602539
48,training,217.0258331298828,143.0247955322266,98.60298156738281,67.17530822753906,166.2927856445312,178.4167175292969,0.3258565366268158,-4.224729537963867
49,training,218.5683898925781,142.3790588378906,100.3888473510742,68.64906311035156,166.2095336914062,181.9006195068359,0.3233895599842072,-4.243273258209229
50,training,220.0786743164062,142.5674743652344,99.67554473876953,68.81298065185547,167.0310821533203,182.3014221191406,0.3237024247646332,-4.268816471099854
